MESS_ARCHIVE_E000


Message Name: Message


MCID_E000: 英霊の魔符３
MID_E000_OP1: $t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|ここは…\nやはりあの島のようだな。$k\n$Wm占い|6$w0|$Ws占い|$Wa$SvpSE_VOICE_SERVANTES_EVT_11|$E苦,汗|えらいことじゃーー！$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_26|うおっ！？　な、何があった？\nとにかく落ち着いてくれ。近い…$k\n$Ws占い|$Wd$w0|$Wm占い|7$w0|$Ws占い|$Wa$SvpSE_VOICE_SERVANTES_EVT_5|$E怒,汗|魔符の大軍が押し寄せてきておる！\n味方となる魔符は一枚もおらん。$k$p$E苦,汗|もうだめじゃー！\nおしまいじゃー！$k$pばあさんや、もうすぐ\nそっちにいくからのう…$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_3|以前取り戻した魔符たちは？$k\n$Ws占い|$Wa$E怒,|$SvpSE_VOICE_SERVANTES_EVT_3|男の英雄たちも、\n女の英雄たちも、みな敵軍じゃよ。$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|…おい、なんでそんなことに？$k\n$Ws占い|$Wa$SvpSE_VOICE_VIRREGER4_EVT_7|$E通常,|あのインバースが泣きながら\n許しを乞いたいと言ってきおって…$k$p$E笑,照|つい鼻の下を伸ばした隙に\nこのありさまじゃ…$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_11|爺さん…$k\n$Wsクロム|$Wd$Ws占い|$Wd$w0|$Wmインバース|7$w0|$Wsインバース|$Wa$E笑,|$SvpSE_VOICE_INVERSE_EVT_21|ありがと、お爺ちゃん。\nこれで魔符はすべて私のもの。$k$p$E通常,|あら、こないだ邪魔してくれた\n異界の邪魔者たちもいるじゃない？$k\n$Wmクロム|3$w0|$Wsクロム|$Wa$E怒,|……$k\n$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_7|$E笑,|ちょうどいいわ。\n大勢の方が燃えるもの…$k$p十の世界から呼び寄せた\n二十人の英雄たちの力…$k$p手始めにあなたたちに\n味わわせてあげるわ！$k
MID_E000_OP2: $t0$Wm配信アイク|0$w0|$Ws配信アイク|$Waお前たちが異界の戦士か。\nなるほど、強いな…$k\n$Wmクロム|6$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|あの英雄は…$k\n$Wm占い|6$w0|$Ws占い|$Wa$E怒,|$SvpSE_VOICE_SERVANTES_EVT_7|あれぞ蒼炎の勇者アイク！\n世界最強と謳われる英雄じゃよ。$k$pわしが持っておった中でも\nまさしく最強の魔符じゃ。$k\n$Wmクロム|6$w0|$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_12|最強、か…$k\n$Ws配信アイク|$Wa$pお前が指揮官のようだな。$k\n$Wsクロム|$Wa$E通常,|$SvpSE_VOICE_CHROM_EVT_7|$pああ、クロムという。$k\n$Ws配信アイク|$Wa$p俺はアイク。\nグレイル傭兵団の傭兵だ。$k$pでは…始めるか。$k\n$Wsクロム|$Wa$Eキメ,|$SvpSE_VOICE_CHROM_EVT_6|$p…そうだな。\n相手にとって不足はない。$k\n$Ws配信アイク|$Wa$p俺かお前か、\nどちらの技が勝るか――$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_46|$p――勝負だ！$k
MID_E000_ED1: $t1$Wmクロム|3$Wm占い|7$w0|$Ws占い|$Wa$E笑,|$SvpSE_VOICE_VIRREGER4_EVT_7|よくやってくれたぞ。\nこれで一安心じゃ。$k$p約束通り、我が家の宝は\nそなたらにやろう。$k\n$Wsクロム|$Wa$E笑,|$SvpSE_VOICE_CHROM_EVT_8|わかった、ありがたく\n使わせてもらう。$k\n$Ws占い|$Wa$E通常,|$SvpSE_VOICE_SERVANTES_EVT_3|ふむ…これで、わしが管理しておった\n魔符は取り戻したんじゃが…$k\n$Wsクロム|$Wa$E通常,|$SvpSE_VOICE_CHROM_EVT_3|なに？\nまだ何かあるのか？$k\n$Ws占い|$Wa$E怒,|$SvpSE_VOICE_VIRREGER4_EVT_5|この異界には\n他にも多くの魔符があっての。$k$p中には、誰にも管理されないまま\n長い年月放置され$k$pその結果、自我を持ち、己の意思で\n暴れまわるものも現れてきたのじゃ。$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_4|…まさか、それも俺たちに\n退治しろと言うんじゃないだろうな。$k\n$Ws占い|$Wa$E苦,汗|$SvpSE_VOICE_SERVANTES_EVT_7|あぁ…ばあさんや。\n最近の若い者はやはり…$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|またか…\nわかった。やればいいんだろう。$k$p$E怒,|で、そいつらはどこにいる？$k\n$Ws占い|$Wa$E通常,|$SvpSE_VOICE_VIRREGER4_EVT_7|うむ。わしの方で色々調べておく。\n次に異界に来た時には案内できるじゃろう。$k$pただ、退治の仕方がちと面倒での。$k\n$Wsクロム|$Wa$E通常,|$SvpSE_VOICE_CHROM_EVT_2|面倒…？　どういうことだ？\n戦って倒すだけではないのか？$k\n$Ws占い|$Wa$E怒,|$SvpSE_VOICE_SERVANTES_EVT_3|基本はそれでいいんじゃが、$k$pただ倒しても一度消えるだけで\n放っておくとまた現れてくるのじゃ。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_34|！！　じゃあ、どうするんだ？$k\n$Ws占い|$Wa$SvpSE_VOICE_VIRREGER4_EVT_4|何度か倒せば、魔符が封印に抗う力も弱まる。\nそうすればわしが封印することもできよう。$k$pもっとも、古き魔符たちは互いに手を組み、\n大軍勢を結成しておる。$k$p伝説の英雄たちの軍勢じゃ。\nそりゃもう大変な強敵じゃが…$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_11|…厄介な話だな。$k\n$Ws占い|$Wa$SvpSE_VOICE_SERVANTES_EVT_3|$E通常,|細かいことは、わしが\nサポートするから大丈夫じゃ。$k$p$E怒,|あと、魔符は、自分たちが\nその世界に住む人間じゃと思っておるから$k$pその点は忘れぬようにの。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_6|人として扱えということだな。$k\n$Ws占い|$Wa$E通常,|$SvpSE_VOICE_VIRREGER4_EVT_7|そうじゃ。\nすまんがよろしく頼むぞ。$k$pそれから、例によって魔符を授けよう。\n『暁の巫女ミカヤ』じゃ。$k$pどうじゃ、この可愛らしい姿。\nきっとそなたらの役に立つぞ。$k
MID_E000_ED2_2: $t1$Wm予約03|3$w0|$Ws予約03|$Wa…ここは…\nそう、戦いは終わったのね…$k$p…わたしの負けね。\nあなたの好きにすればいいわ。$k$pもし望むなら、\nあなたと共に戦ってもいい。$k$pわたしはミカヤ。\nあなた、わたしのことは知ってる？$k
MID_E000_ED2_2YN: ミカヤのことを知ってる？
MID_E000_ED2_2Y: $t1$Wm予約03|3$w0|$Ws予約03|$Waそう、わたしのことはもう知ってるのね。$k$pじゃあ、かわりに\nあなたのことを教えてくれる？$k
MID_E000_ED2_2N: $t1$Wm予約03|3$w0|$Ws予約03|$Waわたしはこことは違う世界…\nテリウス大陸のデイン王国の出身…$k$p暁の巫女と呼ばれていて、\n時々未来を予知する力があるの。$k$pでも、わたしの力でも…あなたが\nこうして現れるのはわからなかったわ。$k$pあなたたちは、\nいったい何者なのかしら…$k
MID_E000_ED2_3: $t1$Wm予約03|3$w0|$Ws予約03|$Waあなたの名前は…？$k$pそう、$Nuというのね。\nあなたが、この軍の軍師…$k$pねえ$Nu、\nあなたはどんな軍師？$k$p今までの戦いで、勝つために\nどんな策をとってきたの？$k$pもし、どんなに汚い策でも…\nそれを使わないと勝てない時…$k$pその策を使わなければ戦いに負け、\nあなたの大切な仲間が死んでしまう時…$k$pあなたはどうする？\n仲間のために、その手を汚す？$k
MID_E000_ED2_3YN: 仲間のために、その手を汚す？
MID_E000_ED2_3Y: $t1$Wm予約03|3$w0|$Ws予約03|$Waそう…\n強い人ね、あなたは。$k$pわたしも、そうありたかった。\nだからあなたと同じ決断をした。$k$pみんなに罵られるような\n汚い策を使ったこともあるわ。$k$pどんなことをしてでも、\n祖国を勝たせたかった…$k$pでも…わたしは結局\n中途半端なまま…$k$pあ…ごめんなさい…\nへんな話をしちゃって。$k$pもう少し、話をしてもいい？\nあなたに聞いてほしいの…$k
