MESS_ARCHIVE_お店


Message Name: Message


MID_買う_PCM1: 何を買おうか…。
MID_売る_PCM1: 何を売ろうか…。
MID_錬成_PCM1: どんな武器にしようか…。
MID_買う_PCM2: 何を買おうかな…。
MID_売る_PCM2: 何を売ろうかな…。
MID_錬成_PCM2: どんな武器にしようかな…。
MID_買う_PCM3: ………。
MID_売る_PCM3: ………。
MID_錬成_PCM3: ………。
MID_買う_PCF1: 何を買おうかしら…。
MID_売る_PCF1: 何を売ろうかしら…。
MID_錬成_PCF1: どんな武器にしようかしら…。
MID_買う_PCF2: 何を買いましょう…。
MID_売る_PCF2: 何を売りましょうか…。
MID_錬成_PCF2: どんな武器にしましょう…。
MID_買う_PCF3: ………。
MID_売る_PCF3: ………。
MID_錬成_PCF3: ………。
MID_買う_援軍_PCM1: 何を買ってくれるんだ？
MID_売る_援軍_PCM1: 何を売るんだ？
MID_錬成_援軍_PCM1: どんな武器にするんだ？
MID_買う_援軍_PCM2: 何を買ってくれる？
MID_売る_援軍_PCM2: 何を売ったらいい？
MID_錬成_援軍_PCM2: どんな武器にする？
MID_買う_援軍_PCM3: ………。
MID_売る_援軍_PCM3: ………。
MID_錬成_援軍_PCM3: ………。
MID_買う_援軍_PCF1: 何を買ってくれるの？
MID_売る_援軍_PCF1: 何を売ったらいいの？
MID_錬成_援軍_PCF1: どんな武器にするの？
MID_買う_援軍_PCF2: 何を買ってくれますか？
MID_売る_援軍_PCF2: 何を売ればいいのですか？
MID_錬成_援軍_PCF2: どんな武器にしますか？
MID_買う_援軍_PCF3: ………。
MID_売る_援軍_PCF3: ………。
MID_錬成_援軍_PCF3: ………。
MID_買う_配信援軍: ………。
MID_売る_配信援軍: ………。
MID_錬成_配信援軍: ………。
MID_買う_クロム: $Nu、どんな物を\n買ってくれるんだ？
MID_売る_クロム: …$Nu、\n金が足りないのか？
MID_錬成_クロム: $Nu、\nどんな武器にしてくれるんだ？
MID_買う_フレデリク: 何か買って下さるのですか？\nありがとうございます。
MID_売る_フレデリク: 私の持ち物で良ければ、\n何なりとお売りください。
MID_錬成_フレデリク: 皆様をお守りできるよう、\n強い武器にして欲しいです。
MID_買う_ソール: ね、寝ぐせ直しとか…\n売ってないよね？
MID_売る_ソール: 何か売れるような物\n持ってたかなー？
MID_錬成_ソール: 武器を強くしてくれるの？\n楽しみだなー。
MID_買う_カラム: …存在感が出るような\n持ち物って…無いのかな。
MID_売る_カラム: 何でも売ってくれていいよ…。
MID_錬成_カラム: …目立つ武器にしてくれると\n嬉しいな…うん。
MID_買う_リヒト: あ、ねぇねぇ僕\nあれが欲しいー！
MID_売る_リヒト: えっ、何か売っちゃうの？\nし…仕方ないなぁ…。
MID_錬成_リヒト: 大人っぽい武器に\nして欲しいなー！
MID_買う_ヴェイク: 俺様が目立つような\nすっげー物を買ってくれよ！
MID_売る_ヴェイク: 俺様の持ち物だから\nきっと高値で売れるぜ！
MID_錬成_ヴェイク: 武器なんか鍛えなくても\n俺様は強いぜ！！
MID_買う_リベラ: 私に与えるものなど、\nその辺の石ころで十分です…。
MID_売る_リベラ: 私の持ち物が、軍の資金に\nなるのなら本望ですよ…。
MID_錬成_リベラ: 私の武器などに\n手を加えていただけるとは…！
MID_買う_ロンクー: …何を買ってくれるんだ。
MID_売る_ロンクー: …何を売るつもりだ。
MID_錬成_ロンクー: …強い武器にしてくれ。
MID_買う_グレゴ: 買い物は、よく予算と\n相談して決めるんだぞー。
MID_売る_グレゴ: 俺の持ち物なんて\n大した金にはならねぇぞ。
MID_錬成_グレゴ: 俺の武器なんかに\n金かけて、いいのかねぇ。
MID_買う_ガイア: …菓子は売っていないのか。
MID_売る_ガイア: 持ち物を売った金で\n何か甘い物を買ってくれ。
MID_錬成_ガイア: 錬成ができる奴は\n菓子作りも上手そうだな…。
MID_買う_ヴィオール: 優雅で華麗で、貴族的な物を\n買ってくれたまえ。
MID_売る_ヴィオール: もしかしてこの軍は\n貧乏なのかい？
MID_錬成_ヴィオール: 私の武器がより美しく\nなるのは、大歓迎だよ…。
MID_買う_ヘンリー: 何か買ってくれるの？\nあはは、ありがと～。
MID_売る_ヘンリー: 触ったら呪われる物とか\nあるけど、気にしないでね～。
MID_錬成_ヘンリー: 敵をいっぱい倒せる武器に\nして欲しいな～！
MID_買う_ドニ: お…おらに物を買うなんて\nそんな、もったいないべ…！
MID_売る_ドニ: おらの持ち物なんかが\nお金になるだべか？
MID_錬成_ドニ: おらがかぶってる鍋とかも、\n錬成すると強くなるべか？
MID_買う_スミア: すみません…私なんかに\nお金を使わせてしまって…。
MID_売る_スミア: あんまり高値で売れる物は\nないかもしれませんが…。
MID_錬成_スミア: 私…強くなった武器で\nもっと頑張りますね…！
MID_買う_リズ: お買い物ってワクワクするね！\n何を買ってくれるの～？
MID_売る_リズ: $Nuさん、\nどれが高く売れると思う？
MID_錬成_リズ: わたしの武器、強くして\nくれるの？　ありがとう！
MID_買う_ソワレ: ボクに何を買ってくれるんだ？\n楽しみだな。
MID_売る_ソワレ: 使い古した武器なんかは\n売ってしまうといいかもね。
MID_錬成_ソワレ: 武器を強くするのもいいけど\nボク自身も強くならないとね。
MID_買う_マリアベル: わたくし、紅茶の茶葉が\n欲しいですわ。
MID_売る_マリアベル: 家に戻ったら、もっとお金に\nなるものがありますのに…。
MID_錬成_マリアベル: 敵が恐れをなしてしまうような\n凶悪な武器にしてくださいな。
MID_買う_ティアモ: 無理のない金額の物を\n買ってくれたら嬉しいわ。
MID_売る_ティアモ: この軍のためになるなら、\n何でも売って構わないわ。
MID_錬成_ティアモ: 武器だけじゃなくて\n自分の腕も磨かないとね。
MID_買う_ベルベット: 人間の店は珍しい物が\nいっぱいあるわね。
MID_売る_ベルベット: お金に変えられるものなんて\n持っていたかしら？
MID_錬成_ベルベット: へぇ…。人間はこうやって\n武器を強くするのね。
MID_買う_ノノ: $Nuが何か買って\nくれるの？　うれしい！！
MID_売る_ノノ: $Nu、ノノの持ち物\n売っちゃうのー！？
MID_錬成_ノノ: 武器も訓練するんだねー！\nノノもがんばろーっと！
MID_買う_オリヴィエ: 何を買ってくれるんですか…？\nちょっとだけ…楽しみです…。
MID_売る_オリヴィエ: わ、私の物で役に立つなら\n何でも売って下さい～！
MID_錬成_オリヴィエ: つ…強い武器を持ってると\nちょっとだけ心強いです…。
MID_買う_セルジュ: まぁ…可愛い店主さん。
MID_売る_セルジュ: あら…何か売れるものが\nあったかしら？
MID_錬成_セルジュ: ミネルヴァちゃんが踏んでも\n壊れない武器にして欲しいわ。
MID_買う_ミリエル: 必要な物以外は\n買わないことをお勧めします。
MID_売る_ミリエル: 要らない物をお金にするのは\n合理的な方法です。
MID_錬成_ミリエル: 武器も鍛えると強くなる…。\n非常に興味深いです。
MID_買う_サーリャ: $Nuが買ってくれる\n物なら、大切に使うわ…。
MID_売る_サーリャ: $Nuのためなら、\n何でも売って構わないわ…。
MID_錬成_サーリャ: 強くなった武器で、\n$Nuを守るわ…。
MID_買う_ジェローム: …余計な物は買うなよ？
MID_売る_ジェローム: …何を売っても\n文句は言わん。
MID_錬成_ジェローム: ミネルヴァがかじっても\n壊れない武器にしてくれ。
MID_買う_ウード: ふっ…この俺に相応しい\n伝説の何かを所望する…！
MID_売る_ウード: 俺の大切な武器たちは\n売らないでくれー！！
MID_錬成_ウード: かっこいい武器…！！\nかっこいい名前…！！
MID_買う_アズール: 欲しいものがいっぱいあって\n困っちゃうな。
MID_売る_アズール: 売れるものが何も無かったら\n恥ずかしいなぁ…。
MID_錬成_アズール: 女の子ウケする武器に\n錬成して下さい。
MID_買う_ブレディ: 持ってるだけで強くなるような\n便利な物は無いのか？
MID_売る_ブレディ: …んだよ。何でも好きな物\n売りやがれってんだ。
MID_錬成_ブレディ: 武器が強くなったら、\n俺も強くなれるのか…？
MID_買う_シャンブレー: 何か身を守れる物を\n買って欲しいなー。
MID_売る_シャンブレー: 物が一つ売られるたびに\n不安な気持ちになる…。
MID_錬成_シャンブレー: できる限り強い武器に\nして欲しいなぁ…。
MID_買う_ロラン: 僕は必要最低限の物で\n構いませんので…。
MID_売る_ロラン: 使わない物は、いさぎよく\n売ってしまうべきでしょうね。
MID_錬成_ロラン: この時代の錬成技術は\nけっこう進んでいるのですね。
