MESS_ARCHIVE_マイルーム挨拶


Message Name: Message


MID_マイルーム挨拶_クロム_朝: おかえり\n$Nu。\nいい朝だな。
MID_マイルーム挨拶_クロム_昼: おかえり\n$Nu。\n今日はどこへ行くんだ？
MID_マイルーム挨拶_クロム_夕: おかえり\n$Nu。\nもう夜だな。
MID_マイルーム挨拶_クロム_夜: おかえり\n$Nu。\n今日はもう休め。
MID_マイルーム挨拶_クロム_誕: $Nu、\n誕生日おめでとう。
MID_マイルーム挨拶_フレデリク_朝: おかえりなさいませ\n$Nuさん。\nいい朝ですね。
MID_マイルーム挨拶_フレデリク_昼: おかえりなさいませ\n$Nuさん。\n本日のご予定は？
MID_マイルーム挨拶_フレデリク_夕: おかえりなさいませ\n$Nuさん。\nもう夜ですね。
MID_マイルーム挨拶_フレデリク_夜: おかえりなさいませ\n$Nuさん。\nそろそろお休み下さい。
MID_マイルーム挨拶_フレデリク_誕: $Nuさん、\nお誕生日\nおめでとうございます。
MID_マイルーム挨拶_ソール_朝: おかえり\n$Nu。\n朝ごはん食べた？
MID_マイルーム挨拶_ソール_昼: おかえり\n$Nu。\n昼ごはん食べた？
MID_マイルーム挨拶_ソール_夕: おかえり\n$Nu。\n晩ごはん食べた？
MID_マイルーム挨拶_ソール_夜: おかえり\n$Nu。\n夜食は食べないの？
MID_マイルーム挨拶_ソール_誕: $Nu、\n誕生日おめでとう！
MID_マイルーム挨拶_カラム_朝: …おかえり\n$Nu…\n朝日がまぶしいね…
MID_マイルーム挨拶_カラム_昼: …おかえり\n$Nu…\n今日はどこか行くの…？
MID_マイルーム挨拶_カラム_夕: …おかえり\n$Nu…\nもう…夜だね…
MID_マイルーム挨拶_カラム_夜: …おかえり\n$Nu…\nまだ起きてたんだね…
MID_マイルーム挨拶_カラム_誕: $Nu…\n誕生日…おめでとう…
MID_マイルーム挨拶_リヒト_朝: おかえんなさい\n$Nu！\nまだちょっと眠いねー。
MID_マイルーム挨拶_リヒト_昼: おかえんなさい\n$Nu！\n今日はどこ行くのー？
MID_マイルーム挨拶_リヒト_夕: おかえんなさい\n$Nu！\n日が暮れるのは早いね！
MID_マイルーム挨拶_リヒト_夜: おかえんなさい\n$Nu！\n僕もう寝るよー？
MID_マイルーム挨拶_リヒト_誕_通常: $Nuさん、\nお誕生日おめでとう！
MID_マイルーム挨拶_リヒト_誕: $Nu、\nお誕生日おめでとう！
MID_マイルーム挨拶_ヴェイク_朝: おかえり\n$Nu！\n俺様、朝から絶好調だぜ！
MID_マイルーム挨拶_ヴェイク_昼: おかえり\n$Nu！\n俺様、昼間も絶好調だぜ！
MID_マイルーム挨拶_ヴェイク_夕: おかえり\n$Nu！\n夜は俺様の時間だぜ！
MID_マイルーム挨拶_ヴェイク_夜: おかえり\n$Nu！\nそろそろ寝る時間だぜ！
MID_マイルーム挨拶_ヴェイク_誕: $Nu！\n今日誕生日なんだってな！\nめでたいぜー！
MID_マイルーム挨拶_リベラ_朝: おかえりなさい\n$Nuさん。\n気持ちの良い朝ですね。
MID_マイルーム挨拶_リベラ_昼: おかえりなさい\n$Nuさん。\n今日は何をするのですか？
MID_マイルーム挨拶_リベラ_夕: おかえりなさい\n$Nuさん。\nもう夜ですね…。
MID_マイルーム挨拶_リベラ_夜: おかえりなさい\n$Nuさん。\n今日もお疲れさまです。
MID_マイルーム挨拶_リベラ_誕: $Nuさん、\nお誕生日\nおめでとうございます。
MID_マイルーム挨拶_ロンクー_朝: …おかえり\n$Nu。\n……眠そうな顔だな。
MID_マイルーム挨拶_ロンクー_昼: …おかえり\n$Nu。\n……ヒマそうだな。
MID_マイルーム挨拶_ロンクー_夕: …おかえり\n$Nu。\n……もう夜だな。
MID_マイルーム挨拶_ロンクー_夜: …おかえり\n$Nu。\n……そろそろ休め。
MID_マイルーム挨拶_ロンクー_誕: $Nu…。\n……誕生日おめでとう。
MID_マイルーム挨拶_グレゴ_朝: おかえり\n$Nu！\nなんだなんだ、朝帰りか？
MID_マイルーム挨拶_グレゴ_昼: おかえり\n$Nu！\n今日は何すんだ？
MID_マイルーム挨拶_グレゴ_夕: おかえり\n$Nu！\n夜になるのは早いな！
MID_マイルーム挨拶_グレゴ_夜: おかえり\n$Nu！\nまだ休まねぇのか？
MID_マイルーム挨拶_グレゴ_誕: $Nu、\n誕生日おめでとう！
MID_マイルーム挨拶_ガイア_朝: おかえり\n$Nu。\n朝の糖分補給するか？
MID_マイルーム挨拶_ガイア_昼: おかえり\n$Nu。\nおやつの時間はまだか。
MID_マイルーム挨拶_ガイア_夕: おかえり\n$Nu。\nいい菓子が手に入ったぞ。
MID_マイルーム挨拶_ガイア_夜: おかえり\n$Nu。\n寝る前は菓子を食うなよ。
MID_マイルーム挨拶_ガイア_誕: $Nu、\n誕生日おめでとう。\n…ケーキは食うのか？
MID_マイルーム挨拶_ヴィオール_朝: よく帰ってきたね\n$Nuくん。\nうーん優雅な朝だ。
MID_マイルーム挨拶_ヴィオール_昼: よく帰ってきたね\n$Nuくん。\n素晴らしい昼だね。
MID_マイルーム挨拶_ヴィオール_夕: よく帰ってきたね\n$Nuくん。\n今宵の星は美しいよ。
MID_マイルーム挨拶_ヴィオール_夜: よく帰ってきたね\n$Nuくん。\nそろそろ休みたまえ。
MID_マイルーム挨拶_ヴィオール_誕: $Nuくん、\nお誕生日おめでとう。\n素晴らしい一日を。
MID_マイルーム挨拶_ヘンリー_朝: おかえり\n$Nu。\nいい朝だね～。
MID_マイルーム挨拶_ヘンリー_昼: おかえり\n$Nu。\n何か面白いことあった～？
MID_マイルーム挨拶_ヘンリー_夕: おかえり\n$Nu。\n夜はいいよね、真っ暗で。
MID_マイルーム挨拶_ヘンリー_夜: おかえり\n$Nu。\nもう寝ちゃうの～？
MID_マイルーム挨拶_ヘンリー_誕: $Nu、\nお誕生日おめでと～！
