MESS_ARCHIVE_メッセージカード


Message Name: Message


MID_Mカード_タイトル: メッセージカード
MID_Mカード_個性_なし: なし
MID_Mカード_個性_001: 
MID_Mカード_個性_002: お茶目な
MID_Mカード_個性_003: さわやかな
MID_Mカード_個性_004: かわいい
MID_Mカード_個性_005: シャイな
MID_Mカード_個性_006: ドジな
MID_Mカード_個性_007: ダメな
MID_Mカード_個性_008: イケてる
MID_Mカード_個性_009: かっこいい
MID_Mカード_個性_010: 素敵な
MID_Mカード_個性_011: 素晴らしい
MID_Mカード_個性_012: 最高の
MID_Mカード_個性_013: 至高の
MID_Mカード_個性_014: 最強の
MID_Mカード_個性_015: 最弱の
MID_Mカード_個性_016: ヘタレの
MID_Mカード_個性_017: モテたい
MID_Mカード_個性_018: 究極の
MID_Mカード_個性_019: ビビリの
MID_Mカード_個性_020: 泣き虫の
MID_Mカード_個性_021: 気まぐれ
MID_Mカード_個性_022: 怒りんぼ
MID_Mカード_個性_023: おもしろい
MID_Mカード_個性_024: 明るい
MID_Mカード_個性_025: 普通の
MID_Mカード_個性_026: 根暗の
MID_Mカード_個性_027: ただの
MID_Mカード_個性_028: しがない
MID_Mカード_個性_029: 怖い
MID_Mカード_個性_030: ぶっちゃけ
MID_Mカード_出身_001: 秘密
MID_Mカード_出身_002: 北海道
MID_Mカード_出身_003: 青森
MID_Mカード_出身_004: 岩手
MID_Mカード_出身_005: 宮城
MID_Mカード_出身_006: 秋田
MID_Mカード_出身_007: 山形
MID_Mカード_出身_008: 福島
MID_Mカード_出身_009: 茨城
MID_Mカード_出身_010: 栃木
MID_Mカード_出身_011: 群馬
MID_Mカード_出身_012: 埼玉
MID_Mカード_出身_013: 千葉
MID_Mカード_出身_014: 東京
MID_Mカード_出身_015: 神奈川
MID_Mカード_出身_016: 新潟
MID_Mカード_出身_017: 富山
MID_Mカード_出身_018: 石川
MID_Mカード_出身_019: 福井
MID_Mカード_出身_020: 山梨
MID_Mカード_出身_021: 長野
MID_Mカード_出身_022: 岐阜
MID_Mカード_出身_023: 静岡
MID_Mカード_出身_024: 愛知
MID_Mカード_出身_025: 三重
MID_Mカード_出身_026: 滋賀
MID_Mカード_出身_027: 京都
MID_Mカード_出身_028: 大阪
MID_Mカード_出身_029: 兵庫
MID_Mカード_出身_030: 奈良
MID_Mカード_出身_031: 和歌山
MID_Mカード_出身_032: 鳥取
MID_Mカード_出身_033: 島根
MID_Mカード_出身_034: 岡山
MID_Mカード_出身_035: 広島
MID_Mカード_出身_036: 山口
MID_Mカード_出身_037: 徳島
MID_Mカード_出身_038: 香川
MID_Mカード_出身_039: 愛媛
MID_Mカード_出身_040: 高知
MID_Mカード_出身_041: 福岡
MID_Mカード_出身_042: 佐賀
MID_Mカード_出身_043: 長崎
MID_Mカード_出身_044: 熊本
MID_Mカード_出身_045: 大分
MID_Mカード_出身_046: 宮崎
MID_Mカード_出身_047: 鹿児島
MID_Mカード_出身_048: 沖縄
MID_Mカード_出身_049: アジア
MID_Mカード_出身_050: ヨーロッパ
MID_Mカード_出身_051: アフリカ
MID_Mカード_出身_052: 北アメリカ
MID_Mカード_出身_053: 南アメリカ
MID_Mカード_出身_054: オセアニア
