MESS_ARCHIVE_ユニットビュアー


Message Name: Message


MID_曲名_STRM_BGM_MAP_BATTLE1: 天命
MID_曲名_STRM_BGM_MAP_BATTLE1T: 天命～炎
MID_曲名_STRM_BGM_MAP_BATTLE2: 序幕
MID_曲名_STRM_BGM_MAP_BATTLE2T: 序幕～炎
MID_曲名_STRM_BGM_MAP_BATTLE3: 遠征
MID_曲名_STRM_BGM_MAP_BATTLE3T: 遠征～炎
MID_曲名_STRM_BGM_MAP_BATTLE4: 混沌
MID_曲名_STRM_BGM_MAP_BATTLE4T: 混沌～炎
MID_曲名_STRM_BGM_MAP_BATTLE5: 宿命
MID_曲名_STRM_BGM_MAP_BATTLE5T: 宿命～炎
MID_曲名_STRM_BGM_MAP_BATTLE6: 暗雲
MID_曲名_STRM_BGM_MAP_BATTLE6T: 暗雲～炎
MID_曲名_STRM_BGM_MAP_BATTLE7: 使命
MID_曲名_STRM_BGM_MAP_BATTLE7T: 使命～炎
MID_曲名_STRM_BGM_MAP_BATTLE8: 強者
MID_曲名_STRM_BGM_MAP_BATTLE8T: 強者～炎
MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY1: 強襲
MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY1T: 強襲～鋼
MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY2: 凶襲
MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY2T: 凶襲～鋼
MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY3: 猛襲
MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY3T: 猛襲～鋼
MID_曲名_STRM_BGM_MAP_BATTLE_OTHER1: 演習
MID_曲名_STRM_BGM_MAP_BATTLE_OTHER1T: 演習～鋼
MID_曲名_STRM_BGM_BOSS1_INTRO: 強敵・序
MID_曲名_STRM_BGM_BOSS1: 強敵
MID_曲名_STRM_BGM_BOSS2_INTRO: 天敵・序
MID_曲名_STRM_BGM_BOSS2: 天敵
MID_曲名_STRM_BGM_BOSS3_INTRO: 狂敵・序
MID_曲名_STRM_BGM_BOSS3: 狂敵
MID_曲名_STRM_BGM_BOSS4_INTRO: 大敵・序
MID_曲名_STRM_BGM_BOSS4: 大敵
MID_曲名_STRM_BGM_BOSS5_INTRO: 好敵・序
MID_曲名_STRM_BGM_BOSS5: 好敵
MID_曲名_STRM_BGM_BOSS6_INTRO: 宿敵・序
MID_曲名_STRM_BGM_BOSS6: 宿敵
MID_曲名_STRM_BGM_BOSS7_INTRO: 強敵・情
MID_曲名_STRM_BGM_MAP10_INTRO: 「Ｉ」～再
MID_曲名_STRM_BGM_MAP10: 「Ｉ」～為
MID_曲名_STRM_BGM_MAP11: 貴様らが…\n姉さんの言葉を語るな！
MID_曲名_STRM_BGM_EVT_BOURYAKU1: こいつぁ、\n戦争の意思ありとみなすぜ
MID_曲名_STRM_BGM_EVT_BRAVE1: 政治や外交は苦手だが…
MID_曲名_STRM_BGM_EVT_BUKIMI1: なにか…おかしい
MID_曲名_STRM_BGM_EVT_CHANCE1: 運命なんざ、死人の言い訳だ
MID_曲名_STRM_BGM_EVT_HEIWA1: 泊らせてもらおうよ？ね？
MID_曲名_STRM_BGM_EVT_HEION1: 戦いは終わったんだ、これで…
MID_曲名_STRM_BGM_EVT_HOUSHIN1: ………
MID_曲名_STRM_BGM_EVT_HUON1: …そんな方法が、\n本当にうまくいくのか？
MID_曲名_STRM_BGM_EVT_ITAZURA1: くひにはひっは！
MID_曲名_STRM_BGM_EVT_KETSUI1: たとえそれが幻想でも…
MID_曲名_STRM_BGM_EVT_KIKI1: いいから、走れ！！
MID_曲名_STRM_BGM_EVT_KYOAKU1: ここで再び我は蘇る…
MID_曲名_STRM_BGM_EVT_KYOUDAN1: しょせん運命は変わらぬ…
