MESS_ARCHIVE_様子_カラム3


Message Name: Message


MID_様子_カラム_前: $Np…戦いが終わったら\nたまに姿が見えなくなるよね…何してるの？
MID_様子_カラム_前_敬さん: $Npさん…戦いが終わったら\nたまに姿が見えませんが…何してるんですか？
MID_様子_カラム_前_敬様: $Np様…戦いが終わったら\nたまに姿が見えませんが…何してるんですか？
MID_様子_カラム_後: 野営地の真ん中に立って…\n気付かずに通りすぎていく人を数えてるよ…
MID_様子_カラム_後_敬さん: 野営地の真ん中に立って…\n気付かずに通りすぎていく人を数えてます…
MID_様子_カラム_後_敬様: 野営地の真ん中に立って…\n気付かずに通りすぎていく人を数えてます…
MID_様子_カラム_後_無言: ヒマな時は…野営地の真ん中に立って…\n気付かずに通りすぎていく人を数えてます…
MID_様子_カラム_前_親子_子: $Np…大丈夫？\n君…疲れるとちょっと影が薄くなるね…
MID_様子_カラム_後_親子_子: …大丈夫。どんな理由であれ…\n僕の事気にしてくれて…嬉しいよ…
MID_様子_カラム_前_恋人: $Npは…目立つね…\nどうしてだろ…可愛いから…かな。
MID_様子_カラム_後_恋人: そう…君にそう言われると嬉しいよ…\nでも…君の方がずっと魅力的だよ…うん…
