MESS_ARCHIVE_様子_ジェローム4


Message Name: Message


MID_様子_ジェローム_前: $Np、次の戦いでは手を組もう。\n一人より二人の方が、確実に敵を倒せるからな。
MID_様子_ジェローム_後: 仕方ないな…ただし、一時的に手を組むだけだ。\nあまり馴れ合うつもりはない。
MID_様子_ジェローム_後_無言: 次の戦いで、力を貸して欲しい…？\n一時的に手を組むだけなら、了承しよう。
MID_様子_ジェローム_前_親子_子: マーク、お前がいた未来は…\n未来の私は、どんな風になっている？
MID_様子_ジェローム_後_親子_子: 私がお前の父親…か。$k$p過去には干渉せず過ごそうと思っていたのに\nまさかこんなことになるとは…$k$p…私はお前が来るまでは未来にいたんだ。$k$pその時の話をしても、お前の記憶が戻るとは\n思えんが…仕方ない、今度時間を作ろう。
MID_様子_ジェローム_前_親子_母: 母さ…いや、セルジュ。\nお前は私が来るまでは何をしていた？
MID_様子_ジェローム_後_親子_母: 未来では…ミネルヴァの世話をしてた。$k$pあいつ…あぁ見えて人見知りなのに、私には\nすぐ懐いて。母さん、驚いていたな…$k$p…母さんとは、お前のことではないぞ？\n私の母親は、未来で死んだあいつだけだ。$k$p…少し、喋りすぎたな…
MID_様子_ジェローム_前_親子_父: …$Np。私がここに来るまでは\nどんなことがあったのだ？
MID_様子_ジェローム_後_親子_父: 未来でのことが聞きたいのか？　…全く。\n普段何してたかを言うつもりはないぞ？$k$pでも…そうだな、一つお前にお願いがある。$k$pセルジュは私が産まれたらすぐ飛竜にのせて\n絶景高い高いをし始めるが、それを止めてくれ。$k$p一度落ちてから…ずっと頭痛持ちなんだ…
MID_様子_ジェローム_前_恋人: $Np、傍を離れるなよ。\n私は…お前を死なせたくない。
MID_様子_ジェローム_後_恋人: …わかった。でも…もし私が死んでも、\nまた過去に戻るようなマネはするなよ。
