MESS_ARCHIVE_様子_スミア1


Message Name: Message


MID_様子_スミア_前: 気分が良さそうですね、$Np。\n花占いで良い結果でも出たんですか？
MID_様子_スミア_前_無言: 気分が良さそうですね、$Npさん。\n花占いで良い結果でも出たのですか？
MID_様子_スミア_前_敬さん: 気分が良さそうですね、$Npさん。\n花占いで良い結果でも出たのですか？
MID_様子_スミア_前_敬様: ご気分が良さそうですね、$Np様。\n花占いで良い結果でも出たのですか？
MID_様子_スミア_後: いいえ、今日は花占いで良い結果が出たんです。\nきっといいことがありますよ。
MID_様子_スミア_後_敬さん: いいえ、今日は花占いで良い結果が出たんです。\nきっといいことがありますよ。
MID_様子_スミア_後_敬様: いいえ、今日は花占いで良い結果が出たんです。\nきっといいことがありますよ。
MID_様子_スミア_後_無言: 私の気分が良さそう…ですか？\n実は、花占いで良い結果が出たんです…！
MID_様子_スミア_前_親子_子: 過去に来て、不便なことも多いですよね。\n$Np、欲しい物はないですか？
MID_様子_スミア_後_親子_子: ありがとう…私にはその気持ちで十分です。\nあなたの存在が、私には最高の贈り物ですから。
MID_様子_スミア_前_恋人: $Npさん、それ…何ですか？\n大事そうに持ってるから、気になって…
MID_様子_スミア_後_恋人: あ…これは、あなたに作ったお弁当ですよ。\n何回か落としたけど…大丈夫ですよね？
