MESS_ARCHIVE_様子_スミア2


Message Name: Message


MID_様子_スミア_前: 今日花占いで、夢が叶うって出たんです。\n$Npには、何か夢はありますか？
MID_様子_スミア_前_無言: 今日花占いで、夢が叶うって出たんです。\n$Npさんには、何か夢はありますか？
MID_様子_スミア_前_敬さん: 今日花占いで、夢が叶うって出たんです。\n$Npさんには、何か夢はありますか？
MID_様子_スミア_前_敬様: 今日花占いで、夢が叶うって出たんです。\n$Np様には、何か夢はありますか？
MID_様子_スミア_後: 夢とはちょっと違うかもしれないですけど、\n一度、グリフォンの羽占いがしてみたいです。
MID_様子_スミア_後_敬さん: 夢とはちょっと違うかもしれないですけど、\n一度、グリフォンの羽占いがしてみたいです。
MID_様子_スミア_後_敬様: 夢とはちょっと違うかもしれないですけど、\n一度、グリフォンの羽占いがしてみたいです。
MID_様子_スミア_後_無言: え？　私の夢？\n一度、グリフォンの羽占いがしてみたいです。
MID_様子_スミア_前_親子_子: $Npは、とても強いんですね。\n今度私と手合わせしてみませんか？
MID_様子_スミア_後_親子_子: いいですよ。可愛い娘の頼みなら、\nたとえどんな無茶振りでも受け入れます…
MID_様子_スミア_前_恋人: 大好きですよ、$Npさん…\nあなたといると…心が安らぎます。
MID_様子_スミア_後_恋人: 嬉しい…私も、あなたが好きです。\nずっと、私だけのあなたでいてください…
