MESS_ARCHIVE_様子_スミア3


Message Name: Message


MID_様子_スミア_前: $Npは、いつも戦いが終わると\n何をして過ごしているのですか？
MID_様子_スミア_前_無言: $Npさんは、いつも戦いが終わると\n何をして過ごしているのですか？
MID_様子_スミア_前_敬さん: $Npさんは、いつも戦いが終わると\n何をして過ごしているのですか？
MID_様子_スミア_前_敬様: $Np様は、いつも戦いが終わると\n何をして過ごしているのですか？
MID_様子_スミア_後: みんなが無事かどうか、見て回ってます。\n仲間は誰も欠けて欲しくないですから…
MID_様子_スミア_後_敬さん: みんなが無事かどうか、見て回ってます。\n仲間は誰も欠けて欲しくないですから…
MID_様子_スミア_後_敬様: みんなが無事かどうか、見て回ってます。\n仲間は誰も欠けて欲しくないですから…
MID_様子_スミア_後_無言: ヒマな時何をしてるか…ですか？\nみんなが無事かどうか、見て回ってます…
MID_様子_スミア_前_親子_子: $Np、大丈夫ですか…？\n無理はしないようにして下さい…
MID_様子_スミア_後_親子_子: …わ、私は大丈夫ですよ。\nだからお願い、落ち着いてください…！
MID_様子_スミア_前_恋人: $Npさんはかっこいいですね。\n私にはもったいない相手だと思います…
MID_様子_スミア_後_恋人: そ、そんなことないです！　私なんてそんな…\nごめんなさい、こういうのには慣れてなくて。
