MESS_ARCHIVE_様子_スミア4


Message Name: Message


MID_様子_スミア_前: $Np…私も頑張りますから、\n次の敵は力を合わせて戦いましょう？
MID_様子_スミア_前_無言: $Npさん…私も頑張りますから、\n次の敵は力を合わせて戦いましょう？
MID_様子_スミア_前_敬さん: $Npさん…私も頑張りますから、\n次の敵は力を合わせて戦いましょう？
MID_様子_スミア_前_敬様: $Np様…私も頑張りますから、\n次の敵は力を合わせて戦いましょう？
MID_様子_スミア_後: えぇ、喜んで。\n私、足を引っ張らないように頑張ります！
MID_様子_スミア_後_敬さん: えぇ、喜んで。\n私、足を引っ張らないように頑張ります！
MID_様子_スミア_後_敬様: えぇ、喜んで。\n私、足を引っ張らないように頑張ります！
MID_様子_スミア_後_無言: 次の戦いで力を貸して欲しい？　喜んで。\n私、足を引っ張らないように頑張ります！
MID_様子_スミア_前_親子_子: $Npは、\n未来では何をしてたんですか？
MID_様子_スミア_後_親子_子: 私は、自警団の一員なのに、実力不足で\n昔は『落ちこぼれ』だって言われてました。$k$p悲しくて悔しくて、花壇に咲く花を全部\nダメにしたこともあったんですよ。$k$pでも仲間ができて、それも無くなりました…\n$Npも、仲間は大事にして下さい。
MID_様子_スミア_前_恋人: $Npさんの手、温かいです…\n…私を置いて、どこにも行かないで下さいね。
MID_様子_スミア_後_恋人: 大丈夫です。私、こう見えてもタフですから。\nあなたのために、死んでも生き残ります。
