MESS_ARCHIVE_様子_セルジュ1


Message Name: Message


MID_様子_セルジュ_前: ふふ。ご機嫌ね、$Np。\n可愛い毛虫でも見つけたの？
MID_様子_セルジュ_前_通ちゃん: ふふ。ご機嫌ね、$Npちゃん。\n可愛い毛虫でも見つけたの？
MID_様子_セルジュ_前_敬さん: ご機嫌ですわね、$Npさん。\n可愛い毛虫でも見つけたのですか？
MID_様子_セルジュ_後: いいえ。さっきミネルヴァちゃんが脱皮を\nしているところを見られたから、嬉しくて。
MID_様子_セルジュ_後_通ちゃん: いいえ。さっきミネルヴァちゃんが脱皮を\nしているところを見られたから、嬉しくて。
MID_様子_セルジュ_後_敬さん: いいえ。さっきミネルヴァちゃんが脱皮を\nしているところを見られたから、嬉しいんです。
MID_様子_セルジュ_後_無言: 私の機嫌がいいって？　そうねぇ…\nミネルヴァちゃんの脱皮を見たせいかしら。
MID_様子_セルジュ_前_親子_子: $Np、何か欲しい物はない？\n過去に来て不自由なことが多いと思うから…
MID_様子_セルジュ_後_親子_子: …ありがとう、優しいのね。\nその気持ちが嬉しいから、何も要らないわ。
MID_様子_セルジュ_前_恋人: $Np、それは何？\nあなたそんな物持ってたかしら…
MID_様子_セルジュ_後_恋人: これは…料理の書物よ。\nあなたにおいしいものを作ろうと思って。ふふ。
