MESS_ARCHIVE_様子_セルジュ2


Message Name: Message


MID_様子_セルジュ_前: 夢や希望を持ち続けることは大切だと思うわ。\n$Npには、将来の夢はある？
MID_様子_セルジュ_前_通ちゃん: 夢や希望を持ち続けることは大切だと思うわ。\n$Npちゃんには、将来の夢はある？
MID_様子_セルジュ_前_敬さん: 夢を持ち続けることは大切だと思うんです。\n$Npさんは、夢はおありですか？
MID_様子_セルジュ_後: そうねぇ…夢はミネルヴァちゃんの子供を\n見ることかしら。きっと可愛いわよね。
MID_様子_セルジュ_後_通ちゃん: そうねぇ…夢はミネルヴァちゃんの子供を\n見ることかしら。きっと可愛いわよね。
MID_様子_セルジュ_後_敬さん: 夢はミネルヴァちゃんの子供を見ることです。\nきっと可愛いに決まってますもの。
MID_様子_セルジュ_後_無言: 私の夢？　そうねぇ…ミネルヴァちゃんの子供を\n見ることかしら。きっと可愛いわよね。
MID_様子_セルジュ_前_親子_子: $Np、いつか私と手合わせしない？\nきっと、お互い良い刺激になると思うわ。
MID_様子_セルジュ_後_親子_子: えぇ、いいわ。受けて立ちましょう。\nあなたの頼みなら、断れないものね。
MID_様子_セルジュ_前_恋人: 好きよ、$Np。\n気持ちは思った時に伝えないとね。
MID_様子_セルジュ_後_恋人: …ありがとう。私も好きよ。…ねぇ、\nもう一度…好きだと言ってくれないかしら？
