MESS_ARCHIVE_様子_ソワレ2


Message Name: Message


MID_様子_ソワレ_前: 夢を追う姿って美しいよね。\n$Np、キミには何か夢はあるかい？
MID_様子_ソワレ_前_敬殿: 夢を追う姿って美しいですよね。\n$Np殿は、何か夢をお持ちですか？
MID_様子_ソワレ_前_敬様: 夢を追う姿って美しいですよね。\n$Np様は、何か夢をお持ちですか？
MID_様子_ソワレ_後: もっと訓練して、立派な騎士になることだよ。\n女だって、強さを求めてもいいと思うんだ。
MID_様子_ソワレ_後_敬殿: もっと訓練して、立派な騎士になることですよ。\n女だって、強さを求めてもいいと思うんです。
MID_様子_ソワレ_後_敬様: もっと訓練して、立派な騎士になることですよ。\n女だって、強さを求めてもいいと思うんです。
MID_様子_ソワレ_後_無言: ボクの夢が聞きたいって？\nもちろん、立派な騎士になることだよ。
MID_様子_ソワレ_前_親子_子: $Npは強いね。\n今度ボクと手合わせしてみないかい？
MID_様子_ソワレ_後_親子_子: もちろん、受けて立つよ。\nあ…でも、負けたら母親としての威厳が…
MID_様子_ソワレ_前_恋人: 好きだよ、$Np。\nたまには、しおらしいとこも見せとかないとね。
MID_様子_ソワレ_後_恋人: …へぇ、なかなか嬉しい言葉をくれるんだね。\nボクも…キミが好きだよ。
