MESS_ARCHIVE_様子_ソール1


Message Name: Message


MID_様子_ソール_前: 今日は楽しそうだね、$Np。\n朝ごはんに好きな物でも出たの？
MID_様子_ソール_前_敬さん: 今日は楽しそうですね、$Npさん。\n朝ごはんに好きな物でも出ましたか？
MID_様子_ソール_前_敬様: 今日は楽しそうですね、$Np様。\n朝ごはんに好きな物でも出ましたか？
MID_様子_ソール_後: ううん。朝からご飯いっぱい食べたからだよ。\nそうだ、今度一緒にご飯食べに行かない？
MID_様子_ソール_後_敬さん: いえ、朝からたくさんご飯を食べたからです。\nそうだ、今度一緒にご飯食べに行きませんか？
MID_様子_ソール_後_敬様: いえ、朝からたくさんご飯を食べたからです。\nそうだ、今度一緒にご飯食べに行きませんか？
MID_様子_ソール_後_無言: 僕の調子が良さそうだって？\n朝からご飯いっぱい食べてきたせいかな…
MID_様子_ソール_前_親子_子: $Np、過去に来て困ったことない？\n何か欲しい物があったら言ってね。
MID_様子_ソール_後_親子_子: ありがとう、嬉しいな。\nじゃあ、君と一緒に出かける時間が欲しいよ。
MID_様子_ソール_前_恋人: $Np、何を大切そうに持ってるの？
MID_様子_ソール_後_恋人: こ、これは…その…\n綺麗な花が咲いてたから、君にと思って…
