MESS_ARCHIVE_様子_ティアモ3


Message Name: Message


MID_様子_ティアモ_前: $Np、最近野営地にいないわね。\n何か特別なことでもしてるの？
MID_様子_ティアモ_前_敬さん: $Npさん、最近野営地にいませんね。\n何か特別なことでもしているのですか？
MID_様子_ティアモ_前_敬様: $Np様、最近野営地にいませんね。\n何か特別なことでもしているのですか？
MID_様子_ティアモ_前_特殊: クロム様、野営地で姿を見ませんけど、\n何をして過ごしてらっしゃるんですか？
MID_様子_ティアモ_後: 必要な物の買い出しに行っているわ。\nペガサスに乗れると、移動が早いから。
MID_様子_ティアモ_後_敬さん: 必要な物の買い出しに行っています。\nペガサスに乗れると、移動が早いですから。
MID_様子_ティアモ_後_敬様: 必要な物の買い出しに行っています。\nペガサスに乗れると、移動が早いですから。
MID_様子_ティアモ_後_特殊: 買い出しに行っていることが多いです。\nクロム様も、何かあれば仰って下さいね…？
MID_様子_ティアモ_後_無言: 空き時間？　皆に頼まれた物を買いに行くわ。\nペガサスに乗れると、買い出しが早いから。
MID_様子_ティアモ_前_親子_子: $Np、大丈夫？\nぼーっとしてるように見えたけど…
MID_様子_ティアモ_後_親子_子: …ふふ。大丈夫よ、変な子ね。\n心配しないで。あたしはそんなに弱くないわ。
MID_様子_ティアモ_前_恋人: $Npはかっこ良くなったわね。\n前よりずっと、素敵に見えるわよ。
MID_様子_ティアモ_後_恋人: ありがとう。あなたのために女を磨いたのよ？\n努力を認めてくれたようで、嬉しいわ。
