MESS_ARCHIVE_様子_ティアモ4


Message Name: Message


MID_様子_ティアモ_前: $Np、あんまり頑張りすぎないでね。\n次は一緒に敵を倒しましょう？
MID_様子_ティアモ_前_敬さん: $Npさん、頑張りすぎないで下さいね。\n次は一緒に敵を倒しませんか？
MID_様子_ティアモ_前_敬様: $Np様、頑張りすぎないで下さいね。\n次は一緒に敵を倒しませんか？
MID_様子_ティアモ_前_特殊: クロム様。あの…良かったら次の戦いでは\nあたしのサポートをして頂きたいな…なんて。
MID_様子_ティアモ_後: わかった。あなたと一緒に戦うのは\nいい刺激になるから、頑張るわ。
MID_様子_ティアモ_後_敬さん: わかりました。あなたと共に戦うのは\nいい刺激になりますから、頑張ります。
MID_様子_ティアモ_後_敬様: わかりました。あなたと共に戦うのは\nいい刺激になりますから、頑張ります。
MID_様子_ティアモ_後_特殊: は…はい！\n一緒に戦えるなんて…光栄です。
MID_様子_ティアモ_後_無言: 次の戦いで、力を貸して欲しい、ですって？\nあなたと戦うのはいい刺激になるし…いいわよ。
MID_様子_ティアモ_前_親子_子: $Npは未来でどんな事してたのかしら。\n言える範囲でいいから教えてくれない？
MID_様子_ティアモ_後_親子_子: そうね…あたし、前までは一人で寂しかった。\nいくら頑張っても報われない恋に溺れて…$k$p消えてしまいたいと思うこともあったわ。$k$pでも今は愛する人と結ばれて…\nあなたが来てとても幸せよ。$k$pだから…次はあなたの番。\nどんなに今が暗闇でも、明けない夜は無いの。
MID_様子_ティアモ_前_恋人: $Np。あたしの目を見て…約束して。\nずっと傍にいるって。先に死んだりしないって。
MID_様子_ティアモ_後_恋人: 大丈夫よ。あたしは優秀だから、\nあなたを置いて死ぬなんてヘマはしないわ。
