MESS_ARCHIVE_様子_デジェル2


Message Name: Message


MID_様子_デジェル_前: 夢や目標があると人は強くなれるわ。\n$Np、あなたの夢は何？
MID_様子_デジェル_前_無言: 夢や目標があると人は強くなれます。\n$Np殿、あなたの夢は何ですか？
MID_様子_デジェル_前_敬殿: 夢や目標があると人は強くなれます。\n$Np殿、あなたの夢は何ですか？
MID_様子_デジェル_後: 夢は、最強の技を持った戦士よ。\n女だから最強になれないなんて、私は思わない。
MID_様子_デジェル_後_敬殿: 夢は、最強の技を持った戦士です。\n女だから無理だなんて、私は思いません。
MID_様子_デジェル_後_無言: 私の夢ですか？　最強の技を持った剣士です。\n女だから最強になれないなど、私は思いません。
MID_様子_デジェル_前_親子_子: マーク…あなた、かなり腕を上げたわね。\n今度ぜひ、私と手合わせ願いたいわ。
MID_様子_デジェル_後_親子_子: ええ、いいわ。\n私も、あなたがどんな戦いをするのか楽しみ。
MID_様子_デジェル_前_親子_母: 母さん。いつも武器での勝負ばかりだけど…\nたまには野菜の皮むき勝負なんてどう？
MID_様子_デジェル_後_親子_母: …えぇ、喜んでお受けするわ。\n母さんからは、学ぶことは尽きないもの。
MID_様子_デジェル_前_親子_父: 父さん、時間のある時でいいから、\n私と真剣勝負してみない？
MID_様子_デジェル_後_親子_父: 手合わせがしたいなら、いつでも歓迎よ。\n返り討ちにしてあげるわ。
MID_様子_デジェル_前_恋人: $Np、これからも一緒にいてね。\nあなたほど好きになれる人、他にはいないわ。
MID_様子_デジェル_後_恋人: えぇ、私も…その、あなたが好きよ。\n言わせないでよ、恥ずかしいわね…
