MESS_ARCHIVE_様子_ドニ2


Message Name: Message


MID_様子_ドニ_前: $Npはいつも活躍しててすごいべ。\nやっぱり夢とか、目標でもあるんだか？
MID_様子_ドニ_前_通さん: $Npさんは活躍しててすごいべ。\nやっぱり夢とか、目標でもあるんだか？
MID_様子_ドニ_前_通様: $Np様は活躍しててすごいべ。\nやっぱり夢とか、目標でもあるんだか？
MID_様子_ドニ_後: おらは…ちゃんと戦場で活躍して、\n胸を張って村に帰るのが夢だ。
MID_様子_ドニ_後_通さん: おらは…ちゃんと戦場で活躍して、\n胸を張って村に帰るのが夢だ。
MID_様子_ドニ_後_通様: おらは…ちゃんと戦場で活躍して、\n胸を張って村に帰るのが夢だ。
MID_様子_ドニ_後_無言: おらの将来の夢？　戦場で活躍して、\n胸を張って村に帰るのが夢だ。
MID_様子_ドニ_前_親子_子: $Np、いつかおらと勝負するべ。\nおらの子供の強さを、見てみたいべ。
MID_様子_ドニ_後_親子_子: いいべ。でも、ちょっと緊張するだよ…\nすぐに倒されないよう、頑張るべ。
MID_様子_ドニ_前_恋人: $Npといると、胸が苦しいべ…\nおらはずーっと、あんたに恋をしてるみたいだ。
MID_様子_ドニ_後_恋人: お…おらも、あんたが好きだ…！\n何があっても、あんただけは守ってみせるべ！
