MESS_ARCHIVE_様子_ドニ3


Message Name: Message


MID_様子_ドニ_前: $Npは、\n戦いが終わった後は何をしてるんだべ？
MID_様子_ドニ_前_通さん: $Npさんは、\n戦いが終わった後は何をしてるんだべ？
MID_様子_ドニ_前_通様: $Np様は、\n戦いが終わった後は何をしてるんだべ？
MID_様子_ドニ_後: えっと…村に手紙を書いてることが多いだ。\nみんな、心配してくれてるみたいだべ。
MID_様子_ドニ_後_通さん: えっと…村に手紙を書いてることが多いだ。\nみんな、心配してくれてるみたいだべ。
MID_様子_ドニ_後_通様: えっと…村に手紙を書いてることが多いだ。\nみんな、心配してくれてるみたいだべ。
MID_様子_ドニ_後_無言: ヒマな時に何しとるかって？\nえっと…村に手紙を書いてることが多いべ。
MID_様子_ドニ_前_親子_子: $Np…大丈夫だべか？\n少し疲れているように見えるべ。
MID_様子_ドニ_後_親子_子: だ、大丈夫だべ。\nそんな細かいことは気にしなくていいべ。
MID_様子_ドニ_前_恋人: $Npは、本当に可愛いべな。\nこんな綺麗な子が嫁さんなんて、夢みたいだ。
MID_様子_ドニ_後_恋人: おらが…かっこいい！？\nそんなこと言われたの初めてで…嬉しいべ。
