MESS_ARCHIVE_様子_ノワール1


Message Name: Message


MID_様子_ノワール_前: $Np、今日は機嫌がいいのね。\n機嫌の良くなる呪いでもかけられた…？
MID_様子_ノワール_前_無言: $Npさん、今日はご機嫌ですね…\n機嫌の良くなる呪いでもかかってるんですか…？
MID_様子_ノワール_前_敬さん: $Npさん、今日はご機嫌ですね…\n機嫌の良くなる呪いでもかかってるんですか…？
MID_様子_ノワール_後: …違うわ…あ、もしかして、\n冗談を言って笑わせようとしてくれてるの…？
MID_様子_ノワール_後_敬さん: …ち、違います…冗談を言って\n笑わせようとして下さってるのですか…？
MID_様子_ノワール_後_無言: 私の機嫌が良さそう、ですか…？\nはい、貴方といると…安心しますから…
MID_様子_ノワール_前_親子_子: 私は…怖がられない母親にならないと。\nマーク…何か欲しい物…ない…？
MID_様子_ノワール_後_親子_子: …あ、じゃあ…現金が欲しいわ…
MID_様子_ノワール_前_親子_母: …母さん…何か欲しい物…ない？\nあ…呪術用の物以外で…お願い。
MID_様子_ノワール_後_親子_母: …母さんの呪い道具が全部欲しいわ…\nそしたら、しばらくは平和に過ごせるもの…
MID_様子_ノワール_前_親子_父: …父さん、欲しい物はない…？\n少し…お金があるので、日頃のお礼を…
MID_様子_ノワール_後_親子_父: …欲しい物…？\n……現金がいいわ。
MID_様子_ノワール_前_恋人: $Np…何か落としたわ…\nこれは…何？
MID_様子_ノワール_後_恋人: …これは…貴方にと思って買った…お守り。\nたくさんあるから…好きなのを選んで。
