MESS_ARCHIVE_様子_ノワール3


Message Name: Message


MID_様子_ノワール_前: ねぇ…$Npは…\n戦いが無い時は何をしてるの…？
MID_様子_ノワール_前_無言: あの…$Npさんは…\n戦いが無い時は何をしてるんですか…？
MID_様子_ノワール_前_敬さん: あの…$Npさんは…\n戦いが無い時は何をしてるんですか…？
MID_様子_ノワール_後: 寝てるわ…戦うと疲れちゃうから。\nそれで夜眠れなくて、昼間は眠いの…
MID_様子_ノワール_後_敬さん: 寝てます…戦うと疲れてしまうので。\nそれで夜眠れなくて、昼間は眠いんです…
MID_様子_ノワール_後_無言: ヒマな時は寝てます…戦うと疲れてしまうので。\nそれで夜眠れなくて、昼間は眠いんです…
MID_様子_ノワール_前_親子_子: マーク…体調は…平気？
MID_様子_ノワール_後_親子_子: …顔色が悪いのは、いつものことよ…\n体調はいいから…気にしないで…
MID_様子_ノワール_前_親子_母: 母さん…さっき妙な動きをしてたけど、大丈夫？\n新しい呪術の動き？　それともついに頭が…？
MID_様子_ノワール_後_親子_母: …母さん…私はいつもこんな顔色よ。\nでも、その呪術の効果で鼻水が止まらないの。
MID_様子_ノワール_前_親子_父: …父さん。昨日の夜、ものすごい寝言を\n言ってたけど…大丈夫なの…？
MID_様子_ノワール_後_親子_父: わ、私は平気よ…父さん。\n…気にかけてくれてありがとう。
MID_様子_ノワール_前_恋人: $Npの横顔…かっこいい…\nずっと隣で…見ていたくなるわ…
MID_様子_ノワール_後_恋人: お、おだてても何も出ないわよ…！\nそれに、あ…貴方の方が、かっこいいわ…
