MESS_ARCHIVE_様子_ノワール4


Message Name: Message


MID_様子_ノワール_前: $Npといると…心強いわ。\n次の戦いで…私に力を貸してくれない…？
MID_様子_ノワール_前_無言: $Npさんといると…心強いです。\n次の戦いで…私に力を貸してくれませんか…？
MID_様子_ノワール_前_敬さん: $Npさんといると…心強いです。\n次の戦いで…私に力を貸してくれませんか…？
MID_様子_ノワール_後: わ、わかったわ…\n二人なら大丈夫よね…
MID_様子_ノワール_後_敬さん: わ、わかりました…\n二人なら大丈夫ですよね…
MID_様子_ノワール_後_無言: 次の戦いで、力を貸して欲しい…？\nわかりました…二人なら大丈夫ですよね…
MID_様子_ノワール_前_親子_子: マーク…私はいいお母さんになってた…？\n何か…思いだせることは無いの…？
MID_様子_ノワール_後_親子_子: …わ、私のことを知って何するの…？$k$pまさか…私の情報を敵に流したり…\n夜な夜な私に怪しい術をかけたりするの…？$k$pありえるわ…貴方もあの恐ろしい\n母さんの血をひいているんだもの…！$k$pふふふ…身内ほど恐ろしいものはないわ…
MID_様子_ノワール_前_親子_母: …母さんは、私が来るまでの間も…\nそんな感じだったの…？
MID_様子_ノワール_後_親子_母: み、未来では…未来では、\nいつも母さんの呪いの実験台にされてて…$k$p妙な呪文をかけられるのが日課だったわ。$k$pでも…母さん、最期は自分の体を生贄にして\n私を助ける呪術を使ったの…$k$p…あの呪術、また使ったら一生呪うわよ…！
MID_様子_ノワール_前_親子_父: 父さんは、\n私が来るまで…何をしていたの？
MID_様子_ノワール_後_親子_父: …未来では何をしてたかって…？\n昔はいつも母さんの実験台にされてたわ…$k$pでも、その度に父さんが助けてくれて\nとっても嬉しかったのを覚えてる。$k$pこの時代の私が生まれても…\nちゃんと母さんから守ってあげてよね…
MID_様子_ノワール_前_恋人: $Np…ずっと傍にいてね…\n両親のように…私を置いて行かないで…
MID_様子_ノワール_後_恋人: …私、そんなにすぐ死にそう…？\nごめんね…もっと強くなって、安心させるから。
