MESS_ARCHIVE_様子_フレデリク4


Message Name: Message


MID_様子_フレデリク_前_敬さん: $Npさん、よろしければ\n次の敵は協力して倒しませんか。
MID_様子_フレデリク_前: $Npさん、よろしければ\n次の敵は協力して倒しませんか。
MID_様子_フレデリク_前_敬様: $Np様、よろしければ\n次の敵は協力して倒しませんか。
MID_様子_フレデリク_前_敬殿: $Np殿、よろしければ\n次の敵は協力して倒しませんか。
MID_様子_フレデリク_後_敬さん: えぇ、もちろんです。降りかかる危険は、\nこの私が全て薙ぎ払って差し上げましょう。
MID_様子_フレデリク_後_敬様: えぇ、もちろんです。降りかかる危険は、\nこの私が全て薙ぎ払って差し上げましょう。
MID_様子_フレデリク_後_敬殿: えぇ、もちろんです。降りかかる危険は、\nこの私が全て薙ぎ払って差し上げましょう。
MID_様子_フレデリク_後_無言: 次の戦いで協力ですか？　構いませんよ。\n危険は全て私が薙ぎ払って差し上げましょう。
MID_様子_フレデリク_前_親子_子: $Npさんは、未来では\n何をしていたのですか？
MID_様子_フレデリク_後_親子_子: あなたが来るまで…\n私は軍の戦闘及び雑務をしておりました。$k$p寒くなれば全員に上着を編み、\n暑くなれば井戸を掘り…あ、そうだ。$k$pあなたの上着も編まないと…色のお好みは？\n背面には『愛する我が子』と入れましょうね。
MID_様子_フレデリク_前_恋人: $Npさん、戦場では傍にいて下さい。\n私が、絶対に死なせはしません…
MID_様子_フレデリク_後_恋人: 大丈夫ですよ。私はあなたの傍にいます。\nあなたを悲しませることは、絶対に致しません。
