MESS_ARCHIVE_様子_ブレディ3


Message Name: Message


MID_様子_ブレディ_前: 野営地に戻ると、みんな色んなことしてるよな。\n$Npは空き時間、何してんだ？
MID_様子_ブレディ_後: だいたいは、武器を使う練習をしてるが…\n見にきたら危ねぇぞ、武器が飛んで行くからな。
MID_様子_ブレディ_後_無言: ヒマな時か？　武器の練習をしてるな。\nよく失敗するから、見にきたら危ねぇぞ。
MID_様子_ブレディ_前_親子_子: マーク、さっきから静かだが、どうした？\n体調が悪いなら回復してやるぜ。
MID_様子_ブレディ_後_親子_子: …人相が悪いとはよく言われるが、\n顔色まで悪いのか…俺って……
MID_様子_ブレディ_前_親子_母: 母さん、さっきすっ転んでたろ。大丈夫か？\n笑わせてもらったから、回復ぐらいしてやるよ。
MID_様子_ブレディ_後_親子_母: …全然死にそうじゃねぇよ。\n母さんこそ最近息切れが激しいぞ。もう年か？
MID_様子_ブレディ_前_親子_父: 父さん、さっきケガしてたよな。\n結構派手にやったように見えたが…大丈夫か？
MID_様子_ブレディ_後_親子_父: 俺は平気だ。父さんの心配には及ばん。\nそっちこそ、今日は目の下のクマがひどいぞ。
MID_様子_ブレディ_前_恋人: $Npは、綺麗になったな。\n他の奴よりずっと、魅力的に見える…
MID_様子_ブレディ_後_恋人: …こんな怖い顔でも、そう言ってくれるのか。\nありがとう…お前は本当に、いい女だな。
