MESS_ARCHIVE_様子_マリアベル1


Message Name: Message


MID_様子_マリアベル_前: $Np、気分が良さそうですわね。\n金銀財宝でも見つけましたの？
MID_様子_マリアベル_前_無言: $Npさん、気分が良さそうですわね。\n金銀財宝でも見つけましたの？
MID_様子_マリアベル_前_敬さん: $Npさん、気分が良さそうですわね。\n金銀財宝でも見つけましたの？
MID_様子_マリアベル_前_敬様: $Np様、ご気分が良さそうですわね。\n金銀財宝でも見つけましたの？
MID_様子_マリアベル_後: いいえ。今朝の紅茶が美味しかったので、\n少し気分が良いだけですわ。
MID_様子_マリアベル_後_敬さん: いいえ。今朝の紅茶が美味しかったので、\n少し気分が良いだけですわ。
MID_様子_マリアベル_後_敬様: いいえ。今朝の紅茶が美味しかったので、\n少し気分が良いだけですわ。
MID_様子_マリアベル_後_無言: わたくしの機嫌が良さそうですって？\n…ふふ、よくわかりましたわね。面白い方。
MID_様子_マリアベル_前_親子_子: $Np、何か欲しい物はありませんの？\nわたくしの子に、不自由はさせたくないですわ。
MID_様子_マリアベル_後_親子_子: ものすごいフリフリの服が欲しいですわ。\nそしてそれを、貴方に着せてみたいですの。
MID_様子_マリアベル_前_恋人: $Npさん、何か落としましたわよ。\nこれは…何でしょう？
MID_様子_マリアベル_後_恋人: こ、これは…紅茶の高級茶葉ですわ。\nべつに、貴方のために取り寄せたわけでは…
