MESS_ARCHIVE_様子_マリアベル3


Message Name: Message


MID_様子_マリアベル_前: わたくし、戦いが終わると暇ですのよね…\n$Npは暇な時何をしてますの？
MID_様子_マリアベル_前_無言: わたくし、戦いが終わると暇ですのよね…\n$Npさんは暇な時何をしてますの？
MID_様子_マリアベル_前_敬さん: わたくし、戦いが終わると暇ですのよね…\n$Npさんは暇な時何をしてますの？
MID_様子_マリアベル_前_敬様: わたくし、戦いが終わると暇ですのよね…\n$Np様は暇な時何をしてますの？
MID_様子_マリアベル_後: 護身術を学んでますわ。いざとなったら\nこの傘で相手の急所をタコ殴りですの。
MID_様子_マリアベル_後_敬さん: 護身術を学んでますわ。いざとなったら\nこの傘で相手の急所をタコ殴りですの。
MID_様子_マリアベル_後_敬様: 護身術を学んでますわ。いざとなったら\nこの傘で相手の急所をタコ殴りですの。
MID_様子_マリアベル_後_無言: 暇な時間？　…護身術を学んでますわ。\n緊急時はこの傘で、敵の急所をタコ殴りですの。
MID_様子_マリアベル_前_親子_子: $Np、体調は大丈夫ですの？\n死にそうなら回復して差し上げますわよ？
MID_様子_マリアベル_後_親子_子: わ、わたくしは大丈夫に決まっていますわ。\n貴方は自分の心配でもしやがれですの！
MID_様子_マリアベル_前_恋人: $Npさん…今日はその…\nいつもより、かっこ良く見えますわよ…
MID_様子_マリアベル_後_恋人: ふふ、褒めて下さって嬉しいですわ。\n常に美しくあることも、妻の務めですものね。
