MESS_ARCHIVE_様子_マリアベル4


Message Name: Message


MID_様子_マリアベル_前: $Npは頼りになりますわね。\n次の戦いは、わたくしの力になって下さいな。
MID_様子_マリアベル_前_無言: $Npさんは頼りになりますわね。\n次の戦いは、わたくしの力になって下さいな。
MID_様子_マリアベル_前_敬さん: $Npさんは頼りになりますわね。\n次の戦いは、わたくしの力になって下さいな。
MID_様子_マリアベル_前_敬様: $Np様は頼りになりますわね。\n次の戦いは、わたくしの力になって下さいな。
MID_様子_マリアベル_後: もちろんですわ。わたくしと組むからには、\n絶対に後悔させませんわよ。
MID_様子_マリアベル_後_敬さん: もちろんですわ。わたくしと組むからには、\n絶対に後悔させませんわよ。
MID_様子_マリアベル_後_敬様: もちろんですわ。わたくしと組むからには、\n絶対に後悔させませんわよ。
MID_様子_マリアベル_後_無言: 次の戦いで力を貸して欲しい？　いいですわよ。\n協力するからには、絶対に後悔させませんわ。
MID_様子_マリアベル_前_親子_子: $Npは、\n未来では何をしてましたの？
MID_様子_マリアベル_後_親子_子: 貴方が来るまでは…ギャンレルに\nさらわれたり、色々と苦労しましたわ。$k$pでも、貴方はもっと大変な思いをして\nこの時代に来たんですのよね…$k$pでも、もう大丈夫ですわ。わたくしたちが\n絶対に貴方の未来を守ってみせますの。
MID_様子_マリアベル_前_恋人: $Npさん、死なないで下さいね。\nわたくし、貴方を失うのが怖いんですの…
MID_様子_マリアベル_後_恋人: 大丈夫ですわ。わたくしが死ぬなんてこと…\n貴方のことが心配で、絶対できないですわ。
