MESS_ARCHIVE_様子_ロラン1


Message Name: Message


MID_様子_ロラン_前: $Np、今日はご機嫌ですね。\n何か良い書物でもお読みになったのですか？
MID_様子_ロラン_前_無言: $Npさん、今日はご機嫌ですね。\n何か良い書物でもお読みになったのですか？
MID_様子_ロラン_前_敬さん: $Npさん、今日はご機嫌ですね。\n何か良い書物でもお読みになったのですか？
MID_様子_ロラン_後: いいえ。あなたがいつもより荷物をきちんと整理\nされていたので、感心していただけです。
MID_様子_ロラン_後_敬さん: いいえ。あなたがいつもより荷物をきちんと整理\nされていたので、感心していただけです。
MID_様子_ロラン_後_無言: 僕の機嫌が良さそう…ですか？　えぇ。\n貴方の持ち物は整頓されていて気分が良いです。
MID_様子_ロラン_前_親子_子: マーク。何か必要な物があれば言って下さい。\n僕の息子なら、不足品の確認はしてますよね。
MID_様子_ロラン_後_親子_子: …ちなみに、ご予算はおいくらなのでしょう？\nその中から無理のない物を所望します。
MID_様子_ロラン_前_親子_母: 最近、母様の所持品が消耗しています。\n何か要る物があれば補充しておきますよ。
MID_様子_ロラン_後_親子_母: はい、ありがとうございます。ではまず…\nここに来るまでに揃えた品物代の請求から…
MID_様子_ロラン_前_親子_父: 父様。何か欲しい物はありませんか。\n僕ができる親孝行は、これしか思いつきません。
MID_様子_ロラン_後_親子_父: 欲しい物…ですか。ちなみに値段は\nおいくらぐらいまでの物なら良いのでしょう。
MID_様子_ロラン_前_恋人: $Np、道具袋がパンパンですよ。\n一体何をそんなに入れているのですか。
MID_様子_ロラン_後_恋人: こ…れは、あなたに似合うと思って…髪飾りを。\n買うのに、すごく…勇気が要りました。
