MESS_ARCHIVE_様子_ヴェイク4


Message Name: Message


MID_様子_ヴェイク_前: なかなかやるじゃねぇか、$Np！\n次の敵は協力して倒そうぜ！
MID_様子_ヴェイク_前_敬さん: なかなかやりますね、$Npさん！\n次の敵は協力して倒しましょう！
MID_様子_ヴェイク_前_敬様: なかなかやりますね、$Np様！\n次の敵は協力して倒しましょう！
MID_様子_ヴェイク_後: そこまで頼まれちゃ断れねぇなー！\n俺様の天才的な技で、サポートしてやるよ！！
MID_様子_ヴェイク_後_敬さん: そこまで頼まれちゃ断れないですねー！\n俺様の天才的な技で、サポートしますよ！！
MID_様子_ヴェイク_後_敬様: そこまで頼まれちゃ断れないですねー！\n俺様の天才的な技で、サポートしますよ！！
MID_様子_ヴェイク_後_無言: 次の戦いで、力を貸して欲しい？　いいぜ！\n俺様の天才的な技で、サポートしてやるよ！！
MID_様子_ヴェイク_前_親子_子: $Npは、未来で何してたんだ？\n俺様の子なんだから、武勇伝とか無いのかよ？
MID_様子_ヴェイク_後_親子_子: 俺様はそりゃーもう武勇伝だらけだぜ？\n小さい頃から戦いの才能はあったし、$k$p自警団でも大活躍してたし、\nなんたって、あのクロムのライバルだしな！$k$pお前も、クロムの子には負けんなよ。\nあいつには親子二代に渡って勝ってやる！
MID_様子_ヴェイク_前_恋人: $Np、ずっと俺様の傍にいろよ。\nもし俺様を残して死んだら、許さないからな！
MID_様子_ヴェイク_後_恋人: なんだよ、俺様はいつでも体調万全だぜ？\n殺したって死なねぇから安心しろ。
