MESS_ARCHIVE_様子_能力


Message Name: Message


MID_様子_単独_プレイヤー男_PCM1: 今日はとっても調子がいいぜ！
MID_様子_単独_プレイヤー男_PCM2: 今日はとっても調子がいいんだ。
MID_様子_単独_プレイヤー男_PCM3: ！？
MID_様子_単独_プレイヤー女_PCF1: 今日はとっても調子がいいわー！
MID_様子_単独_プレイヤー女_PCF2: 今日はとても調子が良いです…
MID_様子_単独_プレイヤー女_PCF3: ！？
MID_様子_単独_プレイヤー援軍: ！？
MID_様子_単独_旧マルス: ！？
MID_様子_単独_クロム: 今日は、調子が良い。\nいつもより力が出せる気がする。
MID_様子_単独_フレデリク: 何だか調子が良いです。\nいくらでも火起こしできそうな気分ですよ。
MID_様子_単独_ソール: 今日は調子がいいみたいだ！\n昨日いっぱいごはん食べたおかげかな？
MID_様子_単独_カラム: …なんか、今日は\n存在感が増してる気がする。
MID_様子_単独_リヒト: 今日は調子がいいなー！\nその辺を走り回りたい気分だよー！
MID_様子_単独_ヴェイク: 俺様の調子がいいぜー！\n今日は間違いなく俺様がいっちばーん！
MID_様子_単独_リベラ: 今日はとても気分が良いです。\nこれも神の御心でしょうか。
MID_様子_単独_ロンクー: …いつもより体が軽い。
MID_様子_単独_グレゴ: 今日は絶好調だぜ！\nどんな奴でもかかってきな！
MID_様子_単独_ガイア: よし。糖分補給して頭が回るようになった。\nいつもより良い仕事ができそうだ。
MID_様子_単独_ヴィオール: 今日は調子が良い。\n優雅に、華麗に活躍できそうだよ。
MID_様子_単独_ヘンリー: 今日はすっごく調子がいいんだ！\nいつもよりたくさん呪えそう！
MID_様子_単独_ドニ: 今日は調子がいいみたいだべ！\nみんなみたいに戦えるといいべなぁ！
MID_様子_単独_スミア: 今日は調子がいいわ。\nこんな私でも、お役にたてるかも。
MID_様子_単独_リズ: 今日はすっごく調子がいいの！\n何だって出来ちゃいそうな気分！
MID_様子_単独_ソワレ: んー！　今日は調子がいいなー！\nいつもより活躍できそうだよ！
MID_様子_単独_マリアベル: 今日は調子が良いですわ。\n私だって、やる時はやりますの。
MID_様子_単独_ティアモ: 今日は調子がいいわ。\nあの人、見ててくれているかしら…
MID_様子_単独_ベルベット: 今日はとても調子が良いわ。\n故郷にいた時より、気分がいいの。
MID_様子_単独_ノノ: 今日は調子がいいの！\nいつもよりおっきな竜に変身できそう！
MID_様子_単独_オリヴィエ: 今日はなんだか調子が良いです。\nいつもより綺麗に踊れるかもしれません。
MID_様子_単独_セルジュ: 今日は何だか気分がいいわ。\n可愛い屍兵を見かけたおかげかしら。
MID_様子_単独_ミリエル: 今日は調子が良いです。\n身の周りが整理整頓されているからですね。
MID_様子_単独_サーリャ: 今日は悪くない気分だわ。\n力が溢れてくる感じ…
MID_様子_単独_ジェローム: 今日は久しぶりに気分が良い。\nいつもより活躍できそうだ。
MID_様子_単独_ウード: 今日は英雄の血が暴走しない。\nうまく力をコントロールできそうだ…
MID_様子_単独_アズール: 今日はなんか調子いいなぁ。\n今ならナンパもうまくいくかも…！
MID_様子_単独_ブレディ: 今日は調子がいい。\n目が合っただけで、敵がビビって逃げて行く。
MID_様子_単独_シャンブレー: 今日は調子いいなー！\n未来にいた時より、調子いいぞー！
MID_様子_単独_ロラン: 今日は調子が良いです。\nいつもこんな感じだと良いのですが。
MID_様子_単独_マーク男: 今日は調子がいいです！\nみんなの力になれるといいんですけど。
MID_様子_単独_マルス: 今日は調子がいいです。\nいつもより力が出せる気がします。
MID_様子_単独_デジェル: 何だか調子がいいわ…\n最強の戦士になれる日も、遠くないかも。
MID_様子_単独_シンシア: 今日はすっごく調子いい！\n悪者は全員、このシンシアがお相手するわ！
MID_様子_単独_セレナ: 今日は調子がいいわ。\nお肌のハリもいいし、髪もサラサラよ。
MID_様子_単独_ノワール: あ…今日は、調子がいいです…\n母さんのどんな呪いでも、耐えられそう…
MID_様子_単独_ンン: 今日は調子が良いです。\nいつもより巨大な竜になれそうなのです。
MID_様子_単独_マーク女: 今日は調子がいいです！\nみんなの力になれるといいんですけど。
MID_様子_単独_パリス: 今日は調子が良い。\n誰にも負ける気がせんな。
MID_様子_単独_バジーリオ: 今日は調子がいいな。\nひと暴れできそうだぜ！
MID_様子_単独_レンハ: …今日はいつもより調子がいい。\n昔の勘が戻ってきたようだ…
MID_様子_単独_ヴァルハルト: 今日は調子が良い。\n鍛錬を怠らぬ我が身には当然のこと。
MID_様子_単独_ギャンレル: ヒャッハー！　今日は調子いいぜ！\n誰から潰してやろうかァ！
MID_様子_単独_サイリ: …今日はとても調子が良い。\n近付く敵は、皆斬り捨てる！
MID_様子_単独_アンナ: 今日は調子がいいわ！\nお店も繁盛してるし、言うことなしね！
MID_様子_単独_チキ: 今日はとっても調子が良いの。\n嬉しいわ。
MID_様子_単独_インバース: 今日は調子が良いわ。\nみんな私の手で…絶望に落としてあげる。
MID_様子_単独_フラヴィア: 今日は調子が良いねえ。\n悪くない気分だよ。
MID_様子_単独_エメリナ: きょう…は、ちょうし…いい…
