MESS_ARCHIVE_独り言


Message Name: Message


MID_様子_単独_プレイヤー男_PCM1: 人恋しくなると、\nこの部屋に来てしまうな…
MID_様子_単独_プレイヤー男_PCM2: 人恋しくなると、\nこの部屋に来てしまうよ…
MID_様子_単独_プレイヤー男_PCM3: ……
MID_様子_単独_プレイヤー女_PCF1: 人恋しくなると、\nこの部屋に来てしまうわ…
MID_様子_単独_プレイヤー女_PCF2: 人恋しくなると、\nこの部屋に来てしまいます…
MID_様子_単独_プレイヤー女_PCF3: ……
MID_様子_単独_プレイヤー援軍: ……
MID_様子_単独_旧マルス: ……
MID_様子_単独_クロム: 早く平和な時代が来ればいいな…
MID_様子_単独_フレデリク: 皆様にお揃いの手袋を編みたいのですが、\n色は何色にしましょうかね…
MID_様子_単独_ソール: お腹すいたなぁ…
MID_様子_単独_カラム: そういえば今朝の点呼で…\n僕の名前呼ばれなかったなぁ…
MID_様子_単独_リヒト: はぁ…なかなか身長伸びないなぁ…
MID_様子_単独_ヴェイク: ふんふふんふ～ん。\n俺様最強～俺様がいちばん～
MID_様子_単独_リベラ: 神よ…どうか皆様をお守りください…
MID_様子_単独_ロンクー: ここは静かで落ち着くな…
MID_様子_単独_グレゴ: ふぃー。なーんかうまい儲け話でも\n転がってこないかねぇ。
MID_様子_単独_ガイア: しまった…\nポケットに入れていた焼き菓子が粉々だ…
MID_様子_単独_ヴィオール: うーむ、貴族的に退屈だ。
MID_様子_単独_ヘンリー: この部屋で屍兵を飼ってみたいな～。
MID_様子_単独_ドニ: 村のみんな、元気にしてるべか…？
MID_様子_単独_スミア: 実はペガサスの羽占いが一番当たるって、\nほんとかしら…
MID_様子_単独_リズ: あ、壁にヒビ入ってる。\nこれ絶対お兄ちゃんのしわざだよ…
MID_様子_単独_ソワレ: ボクが女だからって、舐めていると\n痛い目に遭うんだからね。
MID_様子_単独_マリアベル: この部屋でお茶会でも開いたら\n楽しそうですわね。
MID_様子_単独_ティアモ: はぁー…\nあ、またため息ついちゃった。
MID_様子_単独_ベルベット: なんだかニンジンが食べたい気分だわ。
MID_様子_単独_ノノ: ノノ、みんなのためにがんばるの！
MID_様子_単独_オリヴィエ: 私…もっと頑張ります…\n皆さんのお役に立てるように、もっと…
MID_様子_単独_セルジュ: あら、可愛い毛虫がいるわ。\nおいでおいで、怖くないですよー。
MID_様子_単独_ミリエル: …あら、部屋の隅にゴミが。\n掃除が行き届いていない証拠です。
MID_様子_単独_サーリャ: ふふふ…敵なんてみんな\n地獄に落ちればいいのよ…
MID_様子_単独_ジェローム: 過去を変えることが、\n本当に正しい道なのだろうか…
MID_様子_単独_ウード: 今こそ、俺の真の力を開放する時だ…
MID_様子_単独_アズール: 一人でいてもつまんないなぁ…\n誰か話し相手でも探しに行こっと。
MID_様子_単独_ブレディ: 母さんのやつ、俺の杖を\n物干し竿代わりに使いやがって…
MID_様子_単独_シャンブレー: ぎゃー！　虫に刺されたー！\n今にも死ぬー！　絶滅するー！
MID_様子_単独_ロラン: この時代にはまだ、\n希望というものがあるのですね…
MID_様子_単独_マーク男: 今日は何の本を読みましょうかねー。
MID_様子_単独_マルス: 今度こそ、あんな未来が訪れなければいい…\nお父様…お母様…
MID_様子_単独_デジェル: この前の敵はなかなか手ごわかったわ。\nもっと腕を磨かないと…！
MID_様子_単独_シンシア: 最近、あたしのペガサスの羽根が\nよく抜けてるなぁ…なんでだろ？
MID_様子_単独_セレナ: あたしだって、母さんみたいに\n勇敢に戦ってみせるんだから…
MID_様子_単独_ノワール: ど、どうしてこの部屋…\n誰もいないのかしら…
MID_様子_単独_ンン: この場所は落ち着くのです。\n憩いのひとときなのです。
MID_様子_単独_マーク女: 今日は何の本を読みましょうかねー。
MID_様子_単独_パリス: もっと強い奴と戦いたい…
MID_様子_単独_バジーリオ: まだまだ暴れたりねぇなぁ。
MID_様子_単独_レンハ: この時代の私は…\n最期に何を思って逝ったのだろう…
MID_様子_単独_ヴァルハルト: クロムよ…\nうぬの器が示す未来…楽しみにしておるぞ…
MID_様子_単独_ギャンレル: 落ちるとこまで落ちたら\nあとは上がるだけだ、ってな。
MID_様子_単独_サイリ: 兄上…私は…
MID_様子_単独_アンナ: 敵軍もなかなかいい武器使ってたわね。\n仕入れの参考にしましょ。
MID_様子_単独_チキ: ふあ…眠くなってきたわ…
MID_様子_単独_インバース: ファウダー様…
MID_様子_単独_フラヴィア: この軍にいると、退屈しないねえ。
MID_様子_単独_エメリナ: わたし…、だれ…なの…
