MESS_ARCHIVE_通信


Message Name: Message


MID_LINK_NSD_CONFIRM: 配信データが壊れています。\n配信データを消去します。
MID_LINK_EXT_CONFIRM: 追加データが壊れています。\n追加データを作り直します。
MID_LINK_DLC_CONFIRM: 追加コンテンツが壊れています。\n追加コンテンツの再構築を行います。
MID_LINK_NSD_RESULT: 配信データを消去しました。\nいつの間に通信を\n登録し直してください。
MID_LINK_EXT_RESULT: 追加データを作り直しました。\nいつの間に通信や追加コンテンツを\n登録し直してください。
MID_LINK_DLC_RESULT: 追加コンテンツを再構築しました。
MID_EXT_NOT_FOUND: ＳＤカードを認識できませんでした。
MID_EXT_NOT_MEDIA: ＳＤカードを認識できませんでした。
MID_EXT_NOT_SPACE: ＳＤカードの空きブロックが不足しています。\n本体設定の「データ管理」から\nＳＤカードの不要なデータを消去してください。
MID_EXT_NOT_WRITE: ＳＤカードが書き込み禁止になっています。\n電源を切ってＳＤカードの\n書き込み禁止スイッチを解除し\n差し直してください。
MID_EXT_NOT_ACCESS: ＳＤカードを認識できませんでした。
MID_EXT_BAD_FORMAT: ＳＤカードを認識できませんでした。
MID_EXT_NOT_EXT: 追加データが見つかりませんでした。
MID_EXT_READ_ONLY: ＳＤカードの処理に失敗しました。\n追加データが読み取り専用属性に\nなっている可能性があります。
MID_EXT_ERROR: ＳＤカードを認識できませんでした。
MID_EXT_RESET: 追加データを作り直しています。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_DLC_READ: 追加マップの読込中
MID_DLC_MOUNT: 追加マップの確認中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_DLC_EXTSAVE: ＳＤカードに\n追加データを作成しました。
MID_DLC_RESTORE: 追加コンテンツの再構築中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_DLC_RESTORE_FAILED: 追加コンテンツが消去されているため\n再構築に失敗した可能性があります。\n追加マップを受信し直してください。
MID_DLC_NOT_MEDIA: ＳＤカードを認識できませんでした。
MID_DLC_NOT_ACCESS: ＳＤカードを認識できませんでした。
MID_DLC_NOT_ARCHIVE: ＳＤカードを認識できませんでした。
MID_DLC_BAD_FORMAT: ＳＤカードを認識できませんでした。
MID_DLC_NOT_VERIFY: 追加コンテンツが壊れています。\n追加マップを受信し直してください。
MID_DLC_ERROR: ＳＤカードを認識できませんでした。\n追加マップを受信し直してください。
MID_DLC_NOT_CONTENT: 追加コンテンツが見つかりませんでした。\n追加マップを受信してください。
MID_DLC_NOT_TITLE: 追加コンテンツが見つかりませんでした。\n追加マップ購入を行なうとご利用できます。
MID_DLC_CHECK: 追加コンテンツのチェックを行いますか？
MID_CEC_オーバー: これ以上、ニンテンドー３ＤＳ本体に\nすれちがい通信を登録できません。\n本体設定で他のタイトルの\nすれちがい通信をやめてください。
