MESS_ARCHIVE_E000


Message Name: Message


MCID_E000: 英霊の魔符２
MID_E000_OP1: $t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|ここは…\n前に来た異界と同じ場所か…？$k\n$Wm占い|6$w0|$Ws占い|$Wa$E笑,|$SvpSE_VOICE_VIRREGER4_EVT_1|なんと！　そなたら助けに来てくれたのか！\nありがたやありがたや！$k$pばあさんや、わしゃもう\nいつ死んでも本望じゃ…$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_26|$E苦,汗|わ、わかったから落ち着け。\n近い…$k\n$Ws占い|$Wd$w0|$Wm占い|7$w0|$Ws占い|$Wa$E通常,|$SvpSE_VOICE_VIRREGER4_EVT_7|おお、わしとしたことがつい\n興奮してしまったようじゃ。$k$pよくぞまた異界へ来てくれたのう。\nそなたらがいれば百人力じゃ。$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|$E怒,汗|それで、例の魔符を盗んだ者の\n居場所はわかるのか？$k\n$Ws占い|$Wa$SvpSE_VOICE_SERVANTES_EVT_3|うむ。わしの今朝の占いによれば\nこのあたりに…$k\n$Wsクロム|$Wd$Ws占い|$Wd$w0|$Wmインバース|3$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_4|あらあら、ここまで追ってきたのね。\nしつこい男は嫌われるわよ？$k\n$Wm占い|7$w0|$Ws占い|$Wa$E苦,汗|$SvpSE_VOICE_SERVANTES_EVT_7|む、あやつじゃ！\nあやつに盗まれたのじゃ。$k\n$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|$E通常,|あれは…$k\n$Wm占い|7$w0|$Ws占い|$Wa$E怒,|$SvpSE_VOICE_SERVANTES_EVT_6|ほほぅ…知っておるのか？\nじゃが、おそらく別人じゃぞ。$k$pあの者はそなたらとは別の異界…\n滅びを迎えつつある世界から来たという。$k$p美しいが危険な女じゃ。\nあやつを止めねばならぬ。$k\n$Ws占い|$Wd$w0|$Wsインバース|$Wa$E笑,|$SvpSE_VOICE_INVERSE_EVT_2|ふふふ、お馬鹿さん。\n私の魔符たちに勝てるつもりなの？$k$p私の可愛い男たちは\n歴史に名を馳せた英雄たちばかり…$k$pやるというのなら…\nたっぷり遊んであげるわよ。$k\n$Wsインバース|$Wd$w0|$Wmクロム|3$Wm占い|7$w0|$Ws占い|$Wa$E苦,汗|$SvpSE_VOICE_VIRREGER4_EVT_5|例によってわしは腰痛で戦えぬ。\nじゃが前回取り戻した魔符がある。$k$p$E怒,|『古の英雄たちよ…どうか\n　我が前にその麗しき御姿を…』$k
MID_E000_OP1_02: $t1$Wm配信エイリーク|3$w0|$Ws配信エイリーク|$Waわかりました。それが\n悪を討つ戦いであるなら…$k\n$Ws配信エイリーク|$Wd$w0|$Wm配信リン|3$w0|$Ws配信リン|$Wa私の剣の\n見せどころってわけね。$k\n$Ws配信リン|$Wd$w0|$Wm配信セリカ|3$w0|$Ws配信セリカ|$Waなるべく傷つけずにすめば\n良いのだけど…$k
MID_E000_OP1_03: $t1$Wmクロム|3$Wm占い|7$w0|$Ws占い|$Wa$SvpSE_VOICE_VIRREGER4_EVT_7|この美しき英雄たちと共に\n戦うのじゃ、頼んだぞ！$k
MID_E000_OP2: $t0$Wmインバース|0$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_21|$E笑,|ふふふ。\nお願いね、私の王子様。$k\n$Wsインバース|$Wd$w0|$Wm配信マルス王子|0$w0|$Ws配信マルス王子|$Waわかった。\nぼくが力になろう。$k\n$Wmクロム|6$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_3|マルス…なのか？\n前と顔つきが違うようだが…$k$p$Wsクロム|$Wd$w0|$Wm占い|6$w0|$Ws占い|$Wa$SvpSE_VOICE_SERVANTES_EVT_3|一人の英雄を二人の画家が\n描けば異なる絵になるように…$k$p魔符が作り出す英雄の\n姿や能力はさまざまじゃよ。$k\n$Ws配信マルス王子|$Wa$p君たちは彼女をさらおうとする\n人さらいの一味だと聞いた。$k$p彼女に手出しはさせない。\nこの場から退いてもらおう。$k\n$Ws占い|$Wa$E苦,汗|$SvpSE_VOICE_SERVANTES_EVT_7|誤解ですぞ、マルス様。\nわしらは人さらいなどではありませぬ。$k$p$E笑,照|まあもっとも…その色っぽい娘に\n特別な用があるのは確かですがな…$k\n$Ws占い|$Wd$w0|$Wmクロム|6$w0|$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_34|おい、爺さん…$k\n$Ws配信マルス王子|$Wa…これ以上の話は無駄なようだね。\n戦うというのなら、相手になろう。$k\n$Wsクロム|$Wd$w0|$Wm占い|6$w0|$Ws占い|$Wa$E苦,汗|$SvpSE_VOICE_SERVANTES_EVT_11|な、何やら誤解されて\nしまったようじゃ！$k\n$Ws配信マルス王子|$Wd$w0|$Wmクロム|0$w0|$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_11|爺さんはもう下がっててくれ…\n戦いは俺たちが何とかする。$k
MID_E000_ED1: $t1$Wmインバース|7$w0|$Wsインバース|$Wa$E笑,|$SvpSE_VOICE_INVERSE_EVT_4|あらあら、残念。\nやられちゃったわね…$k$pしょうがないわ。\nここはいったん逃げるとするわね。$k\n$Wsインバース|$Wd$w0|$Wmクロム|3$w0|$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_18|待て！$k\n$SrpSTRM_BGM_EVT_BRAVE1|0|$Wm占い|7$w0|$Ws占い|$Wa$E苦,汗|$SvpSE_VOICE_SERVANTES_EVT_5|ううむ、逃げられてしもうた…\n逃げ足の速い。$k$pあの娘、弟子入りしたいと\nわしの家へやってきてのう。$k$pその晩には、魔符を盗み出し\n逃げてしまったのじゃ。$k$p$E怒,|英霊の魔符は\n我が一族の秘中の秘…$k$pよそ者には決してわからぬ場所に\n何百年も隠してあったのじゃが…$k\n$Wsクロム|$Wa$E通常,|$SvpSE_VOICE_CHROM_EVT_12|それなのに、あいつは\nいったいどうやって魔符を…？$k\n$Sre70|$Ws占い|$Wa$E笑,照|$SvpSE_VOICE_VIRREGER4_EVT_7|わしが隠し場所を教えたからのう。$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_11|…おい爺さん。$k\n$SrpSTRM_BGM_EVT_ITAZURA1|0|$Ws占い|$Wa$SvpSE_VOICE_SERVANTES_EVT_3|$E怒,汗|あれほど胸の大きい娘に\nお願いされては断れぬ。$k$p御先祖には申し訳ないが、\n仕方のないことじゃった…$k$p$E通常,|そなたも女性には気をつけるのじゃぞ。\nよく見れば女難の相が出ておる。$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_10|いや…あんたの占いは\nもうどうでもいい。$k$p$E通常,|それより、あいつは\nどこへ逃げたんだ？$k\n$Ws占い|$Wa$E怒,|$SvpSE_VOICE_VIRREGER4_EVT_5|また別の異界じゃな…\n次こそは捕まえられるといいのじゃが。$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|次…？　悪いが、俺たちはあまり\nここに長居するわけには…$k\n$Ws占い|$Wa$E苦,汗|$SvpSE_VOICE_SERVANTES_EVT_7|！！　ま、まあ待て。\n茶でも飲んで一息つくのじゃ。$k$p$E笑,汗|そうそう！　あの娘は魔符の他に、\n我が家の秘宝を持ち逃げしておる。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_3|秘宝？$k\n$Ws占い|$Wa$E通常,|$SvpSE_VOICE_VIRREGER4_EVT_7|うむ。新たな秘技…\nスキルを身につけられるという秘宝じゃ。$k$pあの娘を捕まえ、取り戻すことができれば\n宝はそなたらにやるのじゃがのう。$k$p$E笑,|どうかのう？　気にならんかのう？\n欲しくないかのう？$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_32|わ、わかったわかった。\n考えておく。$k\n$Ws占い|$Wa$SvpSE_VOICE_VIRREGER4_EVT_2|おおそうか！　ありがたい。\n来てくれるのはいつでも良いぞ。$k$pこのかわいそうな老人を\n救えるのはそなたらだけじゃ…$k$pそれから、今回の褒美に魔符を授けよう。\n『若き獅子ロイ』じゃ。$k$pどうじゃ、この凛々しい姿。\nきっとそなたらの役に立つぞ。$k
MID_E000_ED2_2: $t1$Wm予約02|3$w0|$Ws予約02|$Waそうか…ぼくはあの女性に\nだまされていたのか…$k$pすまない。お詫びに、\n君が望むなら共に戦おう。$k$pぼくはロイ。\n君はぼくのことを知ってる？$k
MID_E000_ED2_2YN: ロイのことを知ってる？
MID_E000_ED2_2Y: $t1$Wm予約02|3$w0|$Ws予約02|$Waそうか。ならぼくのことを\n話す必要はなさそうだね。$k$pでも、ぼくは\n異世界のことを何も知らない。$k$pぜひ、教えて欲しいな。\n聞きたいことがいろいろあるんだ。$k
MID_E000_ED2_2N: $t1$Wm予約02|3$w0|$Ws予約02|$Waぼくはエレブ大陸にある\nリキア同盟の公子だ。$k$p病に倒れた父上の代理として、\n大陸の戦乱を戦った。$k$pまだ若輩者だけど、いつか\n父上のように立派な人物になる。$k$pそのために、ぼくは色々な世界を\n見聞きして回ってるんだ。$k
MID_E000_ED2_3: $t1$Wm予約02|3$w0|$Ws予約02|$Wa君の名は…？$k$pそうか、$Nuというのか。\n不思議な響きだね。$k$pでも君がいた世界では、そういう\n名前も当たり前なんだろうな。$k$pねえ、$Nu。\n君たちの世界はどんなところかな？$k$pぼくは幼い頃、他国に\n留学してたこともあって、$k$p色んな国に興味があるんだ。\nそこに住む人々にも。$k$p$Nu、君は、\n自分の住む世界が好き？$k
