MESS_ARCHIVE_E000


Message Name: Message


MCID_E000: 生と死の境に
MPID_H_E018_ボス: 異界の住人\n邪悪な儀式に傾倒している
MID_E000_OP1: $t1$Wmクロム|3$Wsクロム|$Wa$E怒,汗|$SvpSE_VOICE_CHROM_EVT_27|おい…！　おい、大丈夫か！\nしっかりしろ…！！$k$p$E苦,汗|…くっ…こいつも駄目か…！$k\n$Wmリズ|7$Wsリズ|$Wa$E苦,|$SvpSE_VOICE_LIZ_EVT_26|お兄ちゃん…\nこっちの人も…ダメだったよ…$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_20|くそっ…！\nこの異界は、どうなっているんだ！$k$p村一つ…一人残らず\n殺されてるなんて…！$k\n$Wsリズ|$Wd$w500|$Wmフレデリク|7$Wsフレデリク|$Wa$E怒,|$SvpSE_VOICE_FREDERIK_EVT_5|クロム様！$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|$E通常,|フレデリク、\n何かわかったのか？$k\n$Wsフレデリク|$Wa$SvpSE_VOICE_FREDERIK_EVT_15|えぇ。隣村で話を聞いたのですが、\nどうやらこの村を襲ったのは、$k$pこの先にある\n邪教の信徒たちだそうです。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_3|そいつらはなぜ村を！？$k\n$Wsフレデリク|$Wa$Eキメ,|$SvpSE_VOICE_FREDERIK_EVT_6|それはわかりません。\nただ、奇妙なことに彼らは…$k$p村人のうち、戦える者を\n生かして連れ去ったそうです。$k$p$E怒,|このままでは、\nその者たちの身も危険です。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_39|…よし、今すぐ追うぞ！$k
MID_E000_OP2: $t1$Wmクロム|3$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_36|何なんだ、ここは！？\n床や壁、天井にまでトゲが…！？$k\n$Wmフレデリク|7$Wsフレデリク|$Wa$E怒,|$SvpSE_VOICE_FREDERIK_EVT_5|クロム様、床に倒れている\n者たちがいるようです！$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_49|何！？\n息はあるのか！？$k\n$Wsフレデリク|$Wd$w500|$Wm021_ボス|7$Ws021_ボス|$Wa$Sre70|$SvpSE_VOICE_BOSS1_EVT_3|いいや、\nそいつらはとっくに死んでいる。$k\n$Wsクロム|$Wa$Eキメ,|$SvpSE_VOICE_CHROM_EVT_34|！？$k\n$SbpSTRM_BGM_EVT_KYOUDAN1|0|$Ws021_ボス|$Wa$E笑,|$SvpSE_VOICE_BOSS1_EVT_2|よくここがわかったな。\n歓迎するぞ、客人たち。$k$p$E通常,|我が作品で\n丁重にもてなしてやろう。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_2|…作品…？$k\n$Ws021_ボス|$Wa$E苦,|$SvpSE_VOICE_BOSS1_DAMAGE_3|おっと。\nうっかり口が滑ったか。$k$pいけないいけない。これでは\nお前たちを帰せなくなってしまった…$k\n$Wsクロム|$Wd$w500|$Wmフレデリク|3$Wsフレデリク|$Wa$E怒,|$SvpSE_VOICE_FREDERIK_EVT_6|白々しい事を…\n元より帰すつもりなどなかったのでしょう。$k\n$Wsフレデリク|$Wd$w500|$Wmクロム|3$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_24|邪教の信徒とは貴様のことだな。$k\n$Ws021_ボス|$Wa$E通常,|$SvpSE_VOICE_BOSS1_EVT_3|ああ、そのとおり。我が神は\n俗人どもには理解できない。$k$pここは、我ら教団のために働く\n暗殺者を育てるための場所。$k$pもっとも…育てるのは\n生きた人間ではないがね。$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_5|なにっ…！？$k\n$Ws021_ボス|$Wa$SvpSE_VOICE_BOSS1_EVT_4|人である限り痛みに怯む。死に恐怖する。\n僅かな金で寝返る。下らない情に流される。$k$p我々はそんな不完全な裏切り者を\n嫌というほど育ててしまった。$k$pだから、今度は人間ではなく、\n屍を育てることにしたのだ。$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_35|屍を…！？$k\n$Ws021_ボス|$Wa$E怒,|$SvpSE_VOICE_BOSS1_EVT_1|そうだ。究極の屍兵を創る。\nそれが私の望み…！$k$p命令に従順で、\nどんな標的でも殺す…$k$pそういう屍兵を創るのは\nなかなか大変なのだよ。$k$pだが、近頃創った作品は優秀でな。\n私のお気に入りだ。$k$p外で試してみたが、ちゃんと\n標的を残らず殺してみせたぞ。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_34|！　さっきの村人たちは、\nやはりお前が…！$k\n$Ws021_ボス|$Wa$E笑,|$SvpSE_VOICE_BOSS1_EVT_2|村？　どの村のことだ？\nそんなものいちいち覚えてはいないぞ。$k$p$E通常,|村人は、たいていそこの連中のような、\n凡庸な屍兵にしかならなかった。$k$p$E怒,|だが、今から見せる\n我が最高傑作は一味違うぞ！$k
MID_E000_OP3: $t1$WmX016_ボス|3$WsX016_ボス|$Wa$SvpSE_VOICE_Z1_DEAD_05|グ…ググ…$k$p殺ス…コロ…ス…\nメイ…レイ…メイレイ…$k
MID_E000_OP4: $t1$Wmクロム|3$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_4|あれは…屍兵！？\n人の命令を聞くのか…！？$k\n$Wm021_ボス|7$Ws021_ボス|$Wa$SvpSE_VOICE_BOSS1_EVT_3|生きているうちから仕込んだのだよ。\n死んでも我々に逆らえぬように。$k$pこいつなら、痛みに怯むことも、\n死に怯えることも、$k$p感情に流されることも無い。\nまさに完璧な暗殺者だ。$k$p$E笑,|どうだ？　我が傑作の\n素晴らしさがわかってくれたかな？$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_38|…それがわかるぐらいなら、\n死んだ方がましだ。$k\n$Ws021_ボス|$Wa$E怒,|$SvpSE_VOICE_BOSS1_EVT_4|ほう…言うではないか！$k$pならば望み通り、その床の上で\n無残に死に絶えるが良い！$k\n$Wsクロム|$Wa$Eキメ,|$SvpSE_VOICE_CHROM_EVT_41|そうはさせるか！\n俺たちは、絶対に負けん！$k$pこんな非道な真似は…\n必ず止めてみせる！$k
MID_E000_BT_ボス: $t0$Wm021_ボス|2$w0|$Ws021_ボス|$Wa死というものの恐ろしさ…\n私が存分に味わわせてやろう！$k
MID_E000_DIE_ボス: $t0$Wm021_ボス|2$w0|$Ws021_ボス|$Wa$E苦,汗|わ、私が…死ぬ……？\n…いやだ…助けて…くれ…$k
MID_E000_DIE_ボス２: $t0$WmX016_ボス|2$WsX016_ボス|$Wa…ヤット……オワ…ル…$k
MID_E000_DIE_アサシン: $t0$Wmアサシン男|2$Wsアサシン男|$Wa$E屍,|……オレ…ハ……$k
MID_E000_DIE_勇者: $t0$Wm勇者男|2$w0|$Ws勇者男|$Wa$E屍,|……カエ…レル……$k
