MESS_ARCHIVE_Card


Message Name: Message


MID_CARD_紹介_通常_男: よろしくお願いします。
MID_CARD_紹介_通常_女: よろしくお願いしますね。
MID_CARD_紹介_キメ_男: …よろしく。
MID_CARD_紹介_キメ_女: よろしくです。
MID_CARD_紹介_怒_男: よろしくなっ！
MID_CARD_紹介_怒_女: よろしくっ！
MID_CARD_紹介_笑_男: あはは。よろしく。
MID_CARD_紹介_笑_女: ふふふ。よろしく。
MID_CARD_紹介_苦_男: よ、よ、よろしく…
MID_CARD_紹介_苦_女: よろ…しく…
MID_CARD_挨拶_通常_男: やあ、良い天気だな。
MID_CARD_挨拶_通常_女: あら、こんにちは。
MID_CARD_挨拶_キメ_男: 俺と戦うのは十年早い。
MID_CARD_挨拶_キメ_女: 立ち去った方が身のためよ。
MID_CARD_挨拶_怒_男: やるんなら相手になるぞ！
MID_CARD_挨拶_怒_女: な…襲ってくるつもり…！？
MID_CARD_挨拶_笑_男: 雇ってくれたら嬉しいな。
MID_CARD_挨拶_笑_女: 良かったら、何か買いますか？
MID_CARD_挨拶_苦_男: くっ…何をしようというんだ…？
MID_CARD_挨拶_苦_女: ま、待って…戦う気はないから…
MID_CARD_戦闘_通常_男: 勝負だ！
MID_CARD_戦闘_通常_女: 勝負！
MID_CARD_戦闘_キメ_男: 後悔してももう遅い！
MID_CARD_戦闘_キメ_女: これで、おしまい…！
MID_CARD_戦闘_怒_男: おおおお！　くらえ！
MID_CARD_戦闘_怒_女: こんの～～！
MID_CARD_戦闘_笑_男: どっちが勝っても恨みっこなし。
MID_CARD_戦闘_笑_女: ふふ、お手柔らかに。
MID_CARD_戦闘_苦_男: く……負けそうな気がする…！
MID_CARD_戦闘_苦_女: う……も、もうだめ…かも…！
MID_CARD_仲間_通常_男: ありがとう。一緒にがんばろう。
MID_CARD_仲間_通常_女: ありがとう。これからよろしく。
MID_CARD_仲間_キメ_男: 敵は全部任せてくれ！
MID_CARD_仲間_キメ_女: 死なせたら許さないから。
MID_CARD_仲間_怒_男: 絶対ちゃんと使ってくれ！
MID_CARD_仲間_怒_女: 絶対ちゃんと育てて！
MID_CARD_仲間_笑_男: 一緒にいられて嬉しいな。
MID_CARD_仲間_笑_女: これからは、あなたと一緒…
MID_CARD_仲間_苦_男: す、すまない…ありがとう。
MID_CARD_仲間_苦_女: お、おなかがいたい…
