MESS_ARCHIVE_Menu


Message Name: Message


MID_MENU_確認: 確認
MID_MENU_選ぶ: 選ぶ
MID_MENU_戻る: 戻る
MID_MENU_決定: 決定
MID_MENU_切り替え: 切り替え
MID_MENU_前の画面: 前の画面
MID_MENU_外す: 外す
MID_MENU_やめる: やめる
MID_MENU_初期化: 初期化
MID_H_無し: なし
MID_H_現在値: 現在値
MID_JOBINTRO_使用可能武器: 武器：
MID_MENU_部隊表: 部隊表
MID_H_MENU_部隊表: 出撃中のユニット一覧を確認できます
MID_MENU_指南: 指南
MID_H_MENU_指南: ゲームの遊び方を確認できます
MID_MENU_環境: 環境
MID_H_MENU_環境: ゲームをプレイする環境を設定できます
MID_MENU_セーブ: セーブ
MID_H_MENU_セーブ: 現在のプレイ状況を保存できます
MID_MENU_中断: 中断
MID_H_MENU_中断: 現在の状態を保存し、ゲームを中断します
MID_MENU_中断確認: 現在の状態を保存し、ゲームを中断しますか？\n（ゲームを再開すると、中断データは消去されます）
MID_MENU_お任せAI_設定: おまかせ設定
MID_H_MENU_お任せAI_設定: おまかせの方針を設定します
MID_MENU_お任せAI_実行: おまかせ
MID_H_MENU_お任せAI_実行: おまかせを実行します（Ｘボタン：方針変更）
MID_H_MENU_お任せAI_実行_簡単: おまかせを実行します
MID_MENU_お任せAI_実行確認: $aおまかせ「$a0」を実行しますか？
MID_MENU_お任せAI_実行確認_簡単: おまかせを実行しますか？
MID_MENU_お任せAI_なし: なし
MID_H_MENU_お任せAI_なし: おまかせを設定しません
MID_MENU_お任せAI_突撃: 突撃！
MID_H_MENU_お任せAI_突撃: 近くの敵へ移動し、攻撃します
MID_MENU_お任せAI_護衛: 護衛！
MID_H_MENU_お任せAI_護衛: クロムについていき、そのまわりで戦います
MID_MENU_お任せAI_追従: 追従！
MID_H_MENU_お任せAI_追従: なるべく敵の攻撃範囲外で、クロムについていきます
MID_MENU_お任せAI_個別: 個別
MID_MENU_お任せAI_個別タイトル: おまかせ個別
MID_H_MENU_お任せAI_個別: ユニットごとにおまかせの方針を設定します
MID_MENU_終了: 終了
MID_H_MENU_終了: 自軍の行動を終了し、敵軍の行動に移ります
MID_MENU_ターン終了確認: ターンを終了しますか？
MID_MENU_未行動: 未行動
MID_MAINMENU_メインメニュー: メインメニュー
MID_MAINMENU_最初から始める: 最初から始める
MID_MAINMENU_最初から始める_ヘルプ: ゲームを最初から始めます
MID_MAINMENU_続きから始める: 続きから始める
MID_MAINMENU_続きから始める_ヘルプ: ゲームを続きから始めます
MID_MAINMENU_続きから始める_内部ヘルプ: 始めるデータを選んでください
MID_MAINMENU_続きから始める_どこでも内部ヘルプ: 始めるデータを選んでください（バトルマップの続きから）
MID_MAINMENU_中断から再開する: 中断から始める
MID_MAINMENU_中断から再開する_ヘルプ: 以前中断セーブしたところから始めます
MID_MAINMENU_中断から再開する_内部ヘルプ: このデータで再開します
MID_MAINMENU_章セーブから始める: 続きから始める
MID_MAINMENU_どこでもセーブから始める: 続きから始める
MID_MAINMENU_セーブ: セーブ
MID_MAINMENU_コピー_ヘルプ: データをコピーします
MID_MAINMENU_コピー_内部ヘルプ先: コピー先のデータを選んでください
MID_MAINMENU_コピー_内部ヘルプ元: コピー元のデータを選んでください
MID_MAINMENU_削除_ヘルプ: データを消去します
MID_MAINMENU_削除_内部ヘルプ: 消去するデータを選んでください
MID_MAINMENU_エクストラ_ヘルプ: 本編とは異なるコンテンツを楽しめます
MID_MAINMENU_章セーブをコピーする: データコピー
MID_MAINMENU_どこでもセーブをコピーする: データコピー
MID_MAINMENU_章セーブを消す: データ消去
MID_MAINMENU_どこでもセーブを消す: データ消去
MID_MAINMENU_ターン: ターン
MID_最初から_タイトル: 難易度
