MESS_ARCHIVE_レベルアップ


Message Name: Message


MID_レベルアップ1_プレイヤー男_PCM1: …あまり\n変わらなかったな。
MID_レベルアップ2_プレイヤー男_PCM1: いい感じに\n成長したな。
MID_レベルアップ3_プレイヤー男_PCM1: よし！\nすごく成長したぞ！
MID_レベルアップ4_プレイヤー男_PCM1: すごい…こんなに\n強くなれたぞ…！
MID_クラスチェンジ_プレイヤー男_PCM1: ここからまた、どんどん\n経験を積んでいくぞ！
MID_カンスト_プレイヤー男_PCM1: ここからは、新しい\nスキルを覚えてみるか。
MID_レベルアップ1_プレイヤー男_PCM2: …あんまり\n変わらなかったね。
MID_レベルアップ2_プレイヤー男_PCM2: いい感じに\n成長したね。
MID_レベルアップ3_プレイヤー男_PCM2: よーし！\nすごく成長できた！
MID_レベルアップ4_プレイヤー男_PCM2: すごい…こんなに\n強くなれた…！
MID_クラスチェンジ_プレイヤー男_PCM2: ここからまた、一歩ずつ\n経験を積んでいこう。
MID_カンスト_プレイヤー男_PCM2: ここからは、新しい\nスキルを覚えてみるかな。
MID_レベルアップ1_プレイヤー男_PCM3: ……。
MID_レベルアップ2_プレイヤー男_PCM3: ！
MID_レベルアップ3_プレイヤー男_PCM3: ！！
MID_レベルアップ4_プレイヤー男_PCM3: ！！！
MID_クラスチェンジ_プレイヤー男_PCM3: ！！！
MID_カンスト_プレイヤー男_PCM3: ！
MID_レベルアップ1_プレイヤー女_PCF1: …あまり\n変わらなかったわね。
MID_レベルアップ2_プレイヤー女_PCF1: いい感じに\n成長したわね。
MID_レベルアップ3_プレイヤー女_PCF1: やったぁ！\nすごく成長できたわ！
MID_レベルアップ4_プレイヤー女_PCF1: すごい…こんなに\n強くなれたわ…！
MID_クラスチェンジ_プレイヤー女_PCF1: ここからまた、どんどん\n経験を積んでいくわ！
MID_カンスト_プレイヤー女_PCF1: ここからは、新しい\nスキルを覚えようかしら。
MID_レベルアップ1_プレイヤー女_PCF2: …あんまり\n変わりませんでした。
MID_レベルアップ2_プレイヤー女_PCF2: いい感じに\n成長しました。
MID_レベルアップ3_プレイヤー女_PCF2: やりました！\n成長しました…！
MID_レベルアップ4_プレイヤー女_PCF2: すごいです…こんなに\n強くなれました…！
MID_クラスチェンジ_プレイヤー女_PCF2: ここからまた、一歩ずつ\n経験を積みます。
MID_カンスト_プレイヤー女_PCF2: ここからは、新しい\nスキルを覚えてみましょう。
MID_レベルアップ1_プレイヤー女_PCF3: ……。
MID_レベルアップ2_プレイヤー女_PCF3: ！
MID_レベルアップ3_プレイヤー女_PCF3: ！！
MID_レベルアップ4_プレイヤー女_PCF3: ！！！
MID_クラスチェンジ_プレイヤー女_PCF3: ！！！
MID_カンスト_プレイヤー女_PCF3: ！
MID_レベルアップ1_プレイヤー援軍: ……。
MID_レベルアップ2_プレイヤー援軍: ！
MID_レベルアップ3_プレイヤー援軍: ！！
MID_レベルアップ4_プレイヤー援軍: ！！！
MID_クラスチェンジ_プレイヤー援軍: ！！！
MID_カンスト_プレイヤー援軍: ！
MID_レベルアップ1_旧マルス: ……。
MID_レベルアップ2_旧マルス: ！
MID_レベルアップ3_旧マルス: ！！
MID_レベルアップ4_旧マルス: ！！！
MID_クラスチェンジ_旧マルス: ！！！
MID_カンスト_旧マルス: ！
MID_レベルアップ1_クロム: すまん。あまり\n変わらなかったな…。
MID_レベルアップ2_クロム: 俺はもっと\n強くなる！
