MESS_ARCHIVE_様子_アズール3


Message Name: Message


MID_様子_アズール_前: 戦いのない時は、みんな結構自由だよね。\n$Npは、ヒマな時何してるの？
MID_様子_アズール_前_無言: 戦いのない時は、みんな違う一面を見せますね。\n$Npさんは、ヒマな時何してますか？
MID_様子_アズール_前_敬さん: 戦いのない時は、みんな違う一面を見せますね。\n$Npさんは、ヒマな時何してますか？
MID_様子_アズール_前_特殊: 女性の空き時間の使い方って興味深いです。\n$Npさんは、ヒマな時何してますか？
MID_様子_アズール_後: んー…内緒。\n大したことはしてないよ。
MID_様子_アズール_後_敬さん: えーっと…内緒です。\n大したことはしてないですよ。
MID_様子_アズール_後_特殊: 僕が空き時間に何してるか、ですか？\n一緒にお茶してくれたらお教えしますよ。
MID_様子_アズール_後_無言: 戦いが無い時は何をしてるか、ですか？\nんー…内緒です。大したことはしてませんよ。
MID_様子_アズール_前_親子_子: マーク、今日はおとなしいね。\n体調でも悪い？
MID_様子_アズール_後_親子_子: うそ。やだなー…どうしよう。女の子から\n『あいつ顔色悪いね』とか言われてたら…
MID_様子_アズール_前_親子_母: 母さん、この前変な男と喋ってなかった？\n浮気じゃないよね？　僕の存在、大丈夫かな。
MID_様子_アズール_後_親子_母: ありがとう、母さん。僕は大丈夫だよ。\n…でも、可愛い子が見てたらムリしちゃうかも。
MID_様子_アズール_前_親子_父: 父さん、この前池に落ちた時の傷、大丈夫？\nよかったね、僕しか見てる人いなくて…
MID_様子_アズール_後_親子_父: 父さん…僕のこと気にしてくれてたんだ。\nありがとう、でも大丈夫だから…
MID_様子_アズール_前_恋人: $Npは、ほんとに可愛い顔してるね。\nもちろん、中身はもっと可愛いんだけどさ。
MID_様子_アズール_後_恋人: ありがとう。君も、すっごく可愛いよ。\n誰かに取られないか、心配になるくらい…
