MESS_ARCHIVE_様子_カラム1


Message Name: Message


MID_様子_カラム_前: $Np…なんか機嫌いいね…\n僕が消え入りそうだから面白いの…？
MID_様子_カラム_前_敬さん: $Npさん…機嫌いいですね…\n僕が消え入りそうだから面白いんですか…？
MID_様子_カラム_前_敬様: $Np様…機嫌いいですね…\n僕が消え入りそうだから面白いんですか…？
MID_様子_カラム_後: えっと…たぶん、違うかな…\nというか君、僕の存在に気づいてたんだ…
MID_様子_カラム_後_敬さん: えっと…たぶん、違います…\nというか、僕の存在に気づいてたんですか…
MID_様子_カラム_後_敬様: えっと…たぶん、違います…\nというか、僕の存在に気づいてたんですか…
MID_様子_カラム_後_無言: へ…？　僕、調子良さそう…？\nそ、そうかな…存在感、あるかな…
MID_様子_カラム_前_親子_子: なんか…お父さんの威厳を…出したいな。\n$Np…欲しい物とか…ない…？
MID_様子_カラム_後_親子_子: ありがとう…でも、僕が欲しい物は\n存在感なんだけど…どうにかなる…？
MID_様子_カラム_前_恋人: …$Np、何か…落としたよ。\n…これ、何？
MID_様子_カラム_後_恋人: …見つかっちゃった。これは…君への贈り物。\n見つけて欲しくない物は…見つかるんだね…
