MESS_ARCHIVE_様子_カラム2


Message Name: Message


MID_様子_カラム_前: $Npはさ…何か…\n目指してるものとか…夢はあるの？
MID_様子_カラム_前_敬さん: $Npさんには…何か…\n目標とか…夢はあるんですか…？
MID_様子_カラム_前_敬様: $Np様には…何か…\n目標とか…夢はあるんですか…？
MID_様子_カラム_後: 存在感のある人になること…
MID_様子_カラム_後_敬さん: 存在感のある人になることです…
MID_様子_カラム_後_敬様: 存在感のある人になることです…
MID_様子_カラム_後_無言: …え、僕の夢は何かって…？\nそうだな…存在感のある人になることかな…
MID_様子_カラム_前_親子_子: …$Np、いつか僕と手合わせして。\n人の視界に入る練習が…したいんだ…
MID_様子_カラム_後_親子_子: …いいよ。…逃げずにちゃんと行くから。\n当日は絶対に、僕を見つけてよね…
MID_様子_カラム_前_恋人: $Np…好きだよ…\n何があっても…君のこと、守るから…
MID_様子_カラム_後_恋人: うん…僕も、君のことが好きだよ…\n…僕を見つけてくれて…ありがとう…
