MESS_ARCHIVE_様子_カラム4


Message Name: Message


MID_様子_カラム_前: 敵は…僕のこと見えてるのかな…\nねぇ$Np…次の敵は一緒に倒そ…？
MID_様子_カラム_前_敬さん: 敵は…僕のこと見えてるのかな…\n$Npさん…次は一緒に戦いませんか？
MID_様子_カラム_前_敬様: 敵は…僕のこと見えてるのかな…\n$Np様…次は一緒に戦いませんか？
MID_様子_カラム_後: …うん。\n僕、見えなくても、君の力になるよ…
MID_様子_カラム_後_敬さん: …はい。僕、見えなくても、\nあなたの力になります…
MID_様子_カラム_後_敬様: …はい。僕、見えなくても、\nあなたの力になります…
MID_様子_カラム_後_無言: …次の戦いで、力を貸して欲しい…？\nうん。僕、見えなくても、君の力になるよ…
MID_様子_カラム_前_親子_子: $Np…未来では…\n何してたの…？
MID_様子_カラム_後_親子_子: …君が来るまでは…\nあまり人に発見されずに…過ごしてたよ…$k$pそういえば、君は僕の子供なのに、\n影が薄くないね…お母さん似なのかな…$k$pそっか…僕…存在感だけじゃなくて…\n子供に混ざった血まで薄いのか…
MID_様子_カラム_前_恋人: …今、$Npが消えそうに見えた…\n僕を置いて、遠くに行ったり…しないでね…
MID_様子_カラム_後_恋人: …平気だよ…\n君を置いて死んだりしないから…安心して…
