MESS_ARCHIVE_様子_セルジュ3


Message Name: Message


MID_様子_セルジュ_前: $Np、最近姿を見ないけれど\n空き時間に何をしているの？
MID_様子_セルジュ_前_通ちゃん: $Npちゃん、最近姿を見ないけれど\n空き時間に何をしているの？
MID_様子_セルジュ_前_敬さん: $Npさん、最近姿を見ませんが\n空き時間に何をなさっているのかしら？
MID_様子_セルジュ_後: みんなの服を縫ったり、洗濯したりしてるわ。\nあまり買い替えられないから、大事に着ないと…
MID_様子_セルジュ_後_通ちゃん: みんなの服を縫ったり、洗濯したりしてるわ。\nあまり買い替えられないから、大事に着ないと…
MID_様子_セルジュ_後_敬さん: みんなの服を縫ったり、洗濯したりしています。\nあまり買い替えられないから、大事に着ないと…
MID_様子_セルジュ_後_無言: 私がヒマな時に何をしているか？　…そうねぇ\nみんなの服を縫ったり、洗濯したりしてるわ。
MID_様子_セルジュ_前_親子_子: $Np、体調は平気？\n今日はあまり元気が無いから、心配よ？
MID_様子_セルジュ_後_親子_子: えっ…だ、大丈夫よ。\nもし何かあったら、その時なんとかするわ。
MID_様子_セルジュ_前_恋人: $Npは、かっこよくなったわね。\n初めて会った時より…ずっと素敵よ。
MID_様子_セルジュ_後_恋人: あら…妻を褒めるのが上手なのね。\n…ありがとう。あなたも、とても素敵よ。
