MESS_ARCHIVE_様子_ソワレ3


Message Name: Message


MID_様子_ソワレ_前: $Np…キミ、最近よくいなくなるけど、\n野営地に戻ったら何をしてるんだい？
MID_様子_ソワレ_前_敬殿: $Np殿、最近あまりお姿を見ませんが\n野営地に戻ったら何をしているのですか？
MID_様子_ソワレ_前_敬様: $Np様、最近あまりお姿を見ませんが\n野営地に戻ったら何をしているのですか？
MID_様子_ソワレ_後: 武器の手入れと、訓練かな。\nたまに散歩に行ったりもするよ。
MID_様子_ソワレ_後_敬殿: 武器の手入れと、訓練です。\nたまに散歩に行ったりもしますが。
MID_様子_ソワレ_後_敬様: 武器の手入れと、訓練です。\nたまに散歩に行ったりもしますが。
MID_様子_ソワレ_後_無言: 空き時間？　武器の手入れをしてるかな。\nたまに散歩に行ったりもするよ。
MID_様子_ソワレ_前_親子_子: $Np、大丈夫かい？\n戦いが激しくなってきたから、少し心配でね。
MID_様子_ソワレ_後_親子_子: はは。たまたまだから、大丈夫。\nキミは面白い心配をするね…ふふふ。
MID_様子_ソワレ_前_恋人: $Npは、かっこ良くなったね。\n何回ボクを惚れ直させる気なのかな。
MID_様子_ソワレ_後_恋人: えっ…いきなり褒められると、照れるよ…\n女扱いされるのは、慣れてないんだ…
