MESS_ARCHIVE_様子_ソワレ4


Message Name: Message


MID_様子_ソワレ_前: $Np、キミはなかなかの腕だね。\n次は力を合わせて、敵を倒さないかい？
MID_様子_ソワレ_前_敬殿: $Np殿、貴方の腕はさすがですね。\n次は力を合わせて、敵を倒しませんか？
MID_様子_ソワレ_前_敬様: $Np様、貴方の腕はさすがですね。\n次は力を合わせて、敵を倒しませんか？
MID_様子_ソワレ_後: もちろんいいよ！\n期待に添えるよう、頑張るよ！
MID_様子_ソワレ_後_敬殿: もちろんいいですよ！\nご期待に添えるよう、頑張ります！
MID_様子_ソワレ_後_敬様: もちろんいいですよ！\nご期待に添えるよう、頑張ります！
MID_様子_ソワレ_後_無言: 次の戦いで、力を貸して欲しいのかい？\nいいよ、ご期待に添えるよう、頑張るね。
MID_様子_ソワレ_前_親子_子: $Npは、未来の世界では\n何をしてたんだい？
MID_様子_ソワレ_後_親子_子: ボクは自警団として活躍していたよ。$k$p自分で言うのもなんだけど、\nその辺の男よりは強かったし、実績もあった。$k$pだから娘であるキミが、戦場でも堂々と\n男性と渡り合ってるのを見ると嬉しいんだ。$k$pボクの血が確かに継がれたのを感じるからね。
MID_様子_ソワレ_前_恋人: $Np、あまり無理しちゃダメだよ。\nキミに何かあったらと思うと、心配なんだ。
MID_様子_ソワレ_後_恋人: 心配には及ばないよ。\nボクは絶対…キミを置いて死んだりしないから。
