MESS_ARCHIVE_様子_ティアモ2


Message Name: Message


MID_様子_ティアモ_前: 夢に向かって努力するのは大事よね。\n$Npには、夢はある？
MID_様子_ティアモ_前_敬さん: 夢に向かって努力するのは大事ですよね。\n$Npさんには、夢がありますか？
MID_様子_ティアモ_前_敬様: 夢に向かって努力するのは大事ですよね。\n$Np様には、夢がありますか？
MID_様子_ティアモ_前_特殊: クロム様には…夢はおありですか？
MID_様子_ティアモ_後: 夢ねぇ…幸せな人生を送ることかしら。\nいつ死んでも、後悔しないようにね。
MID_様子_ティアモ_後_敬さん: 夢は…幸せな人生を送ることですよ。\nいつ死んでも、後悔しないように。
MID_様子_ティアモ_後_敬様: 夢は…幸せな人生を送ることですよ。\nいつ死んでも、後悔しないように。
MID_様子_ティアモ_後_特殊: 夢はたくさんあって言いきれませんね。\n…諦めた夢も、たくさんありますけど。
MID_様子_ティアモ_後_無言: 将来の夢？　幸せな人生を送ることよ。\nいつ死んでも、後悔しないようにね。
MID_様子_ティアモ_前_親子_子: $Np、今度手合わせをしましょ。\nあなたは努力すれば…あたしより強くなるわ。
MID_様子_ティアモ_後_親子_子: …わかったわ。言っておくけど、あたしは\nあなたが思ってるより手強い相手よ？
MID_様子_ティアモ_前_恋人: ねぇ$Np…あたし、あなたが好きよ。\nあなたにだけは、弱い心を見せられるの…
MID_様子_ティアモ_後_恋人: えぇ。あたしも、あなたが好きよ。\nあたし今、すごく幸せだわ…
