MESS_ARCHIVE_様子_デジェル1


Message Name: Message


MID_様子_デジェル_前: $Np、機嫌が良さそうね。\n誰かとの手合わせにでも勝ったの？
MID_様子_デジェル_前_無言: $Np殿、機嫌が良さそうですね。\n誰かとの手合わせに勝たれたのですか？
MID_様子_デジェル_前_敬殿: $Np殿、機嫌が良さそうですね。\n誰かとの手合わせに勝たれたのですか？
MID_様子_デジェル_後: 違うわ。今日のあなたは強そうだと思って。\n一度、手合わせがしたいわ。
MID_様子_デジェル_後_敬殿: いえ。あなたはかなりの腕をお持ちだと思って。\n宜しければ一度、手合わせ願いたく思います。
MID_様子_デジェル_後_無言: ん…？　私の調子が良さそう、ですか？\n私はいつでも調子が良いですが。試してみます？
MID_様子_デジェル_前_親子_子: マーク、欲しい物があれば買ってくるわよ。\n…母親らしい事をするのは、照れくさいわね。
MID_様子_デジェル_後_親子_子: 迷惑なんて思ってないんだけど…そうね。\n今ちょうど、手合わせの相手が欲しかったの。
MID_様子_デジェル_前_親子_母: 母さん、何か要る物はある？\n母さんの役に立ちたいから、何でも言って。
MID_様子_デジェル_後_親子_母: …母さんのファンの女性が、私にまで\n手紙を送ってくるのをやめさせて欲しいわ…
MID_様子_デジェル_前_親子_父: 父さん。何か欲しい物はない？\n…たまには、親孝行してもいいでしょう。
MID_様子_デジェル_後_親子_父: 父さんと出かける時間が欲しいわ。\n今度一緒に、武器でも買いに行きましょうよ。
MID_様子_デジェル_前_恋人: $Np、何か武器にひっかかってるわ。\n危ないわよ。…それは何なの？
MID_様子_デジェル_後_恋人: これは…皮で作った腕輪よ。\nあなたとお揃いで着けたいなと思って…
