MESS_ARCHIVE_様子_ノワール2


Message Name: Message


MID_様子_ノワール_前: …$Npは、\n何か夢とか…あるの…？
MID_様子_ノワール_前_無言: $Npさんには、\n夢とか…ありますか…？
MID_様子_ノワール_前_敬さん: $Npさんには、\n夢とか…ありますか…？
MID_様子_ノワール_後: ゆ、夢を言えばいいの…？！\nわ…私、私…心臓に毛が生えて欲しいわ…
MID_様子_ノワール_後_敬さん: ゆ、夢を言えばいいんですか…？！\nわ…私…心臓に毛が生えて欲しいです…
MID_様子_ノワール_後_無言: えっ、私の将来の夢ですか…？！\nわ…私、私…心臓に毛が生えて欲しいです…
MID_様子_ノワール_前_親子_子: マーク…あなたも遠距離攻撃は得意よね…\n今度私と、的当て勝負をしない…？
MID_様子_ノワール_後_親子_子: いいけど…今攻撃すると、母さんの呪いが\n発動して、マークも同じ場所にケガするわよ…
MID_様子_ノワール_前_親子_母: …母さん。私も少し呪術を覚えたの…\n今度、勝負しない…？
MID_様子_ノワール_後_親子_母: こ…断ってもどうせ試すんでしょう…？！\n３日間鼻水が止まらない呪いだけはやめて…！
MID_様子_ノワール_前_親子_父: …父さん。私、もっと強くなりたいの…\n…だから…今度、私と勝負してくれない…？
MID_様子_ノワール_後_親子_父: 勝負？　今私を攻撃すると、母さんの呪いが\n発動して、父さんも同じ場所にケガするわよ…
MID_様子_ノワール_前_恋人: $Np…無理、しないでね。\n心配なの…貴方のこと、好きだから…
MID_様子_ノワール_後_恋人: …ありがとう…私も、好きよ…\n貴方と一緒なら、怖いものは無いわ…
