MESS_ARCHIVE_様子_マルス4


Message Name: Message


MID_様子_マルス_前: $Npといると力がわいてきます。\n次の敵は二人で協力して倒しませんか？
MID_様子_マルス_前_無言: $Npさんといると力がわいてきます。\n次の敵は二人で協力して倒しませんか？
MID_様子_マルス_前_敬さん: $Npさんといると力がわいてきます。\n次の敵は二人で協力して倒しませんか？
MID_様子_マルス_後: もちろんです。あなたは絶対に守ります。\nもう誰ひとり、死なせはしません…！
MID_様子_マルス_後_敬さん: もちろんです。あなたは絶対に守ります。\nもう誰ひとり、死なせはしません…！
MID_様子_マルス_後_無言: はい…次の戦いで、力を貸して欲しい？\nもちろんです。あなたは絶対に守ります。
MID_様子_マルス_前_親子_子: マーク、あなたのいた時代は平和でしたか？\n何か覚えていることがあれば、教えて下さい。
MID_様子_マルス_後_親子_子: 私もあなたと同じように、未来から来たんです。\n絶望の未来を救うために。$k$p…もしかしたらマークも、同じような未来から\n救いを求めて飛んで来たのかもしれませんね。$k$pもしそうだとしたら、私が全てを終わらせます。\n全ての未来に、希望を取り戻してみせる…！
MID_様子_マルス_前_親子_母: お母様。あの…お母様は、\n私が来るまでは何をなさっていたのですか？
MID_様子_マルス_後_親子_母: 未来での話ですか…\nここに来る直前の事は以前お話ししたので、$k$pまだお母様が私の傍にいてくださった頃の\n話をお聞かせしますね。$k$pここでは何なので、後日お食事でも\nご一緒しませんか？
MID_様子_マルス_前_親子_父: お父様…一緒にいられて嬉しいです。\n私が来るまでの話、もっと聞かせて下さい。
MID_様子_マルス_後_親子_父: 平和だった未来では、本当に幸せでした。\n私、お父様をマネて自警団も作ってたんですよ。$k$pもしこの時代の私が自警団を作っても、\n怒らないで…見守ってあげて下さいね。$k$pそして…たまには私のことも思い出して。\n私も、この時代のお父様のこと、忘れません…
MID_様子_マルス_前_恋人: あの…あまり無理しないで下さいね。\n私…あなたが死ぬところは絶対見たくない…
MID_様子_マルス_後_恋人: …大丈夫ですよ。\n私はずっとここに…あなたの隣にいます…
