MESS_ARCHIVE_様子_ロラン4


Message Name: Message


MID_様子_ロラン_前: $Np、次の戦い、協力しませんか？\n二人の方が勝率が上がります。
MID_様子_ロラン_前_無言: $Npさん、次の戦い、協力しませんか？\n二人の方が勝率が上がります。
MID_様子_ロラン_前_敬さん: $Npさん、次の戦い、協力しませんか？\n二人の方が勝率が上がります。
MID_様子_ロラン_後: えぇ。その提案、乗らせていただきます。\n二人で戦うと、士気も上がりますからね。
MID_様子_ロラン_後_敬さん: えぇ。その提案、乗らせていただきます。\n二人で戦うと、士気も上がりますからね。
MID_様子_ロラン_後_無言: 次の戦いで、力を貸して欲しい、ですか。\n了解しました。二人で戦うのには、賛成です。
MID_様子_ロラン_前_親子_子: マーク。あなたがいた未来のことを\nお聞かせ願えますか？
MID_様子_ロラン_後_親子_子: その前に…僕は、あなたがどの時間軸から\n来たのか、非常に興味があります。$k$pあなたのお母様と僕が結ばれるという事象は\n僕が以前いた時間軸では実現し得なかった。$k$pつまり…あぁ…こんがらがってきました…\n頭を一度整理してから、またお話をしましょう。
MID_様子_ロラン_前_親子_母: 母様…母様は僕がここに来るまでは\n何をなさっていたのですか？
MID_様子_ロラン_後_親子_母: 僕は…ずっと母さんを探していました。$k$pあの日…完璧主義だった母様は、\n死体も残さずに僕の前から消えてしまったので$k$pまだどこかで生きているのではないかと…$k$pだから、未だにあなたが本当の母様で、\n僕を騙してるんだって…思ってしまうのです。
MID_様子_ロラン_前_親子_父: 父様。僕がここに来るまでの話を\nお聞かせ願いたいのですが…いいですか？
MID_様子_ロラン_後_親子_父: 未来でのこと…ですか。はい、お話しますよ。\n父様には、忠告したいことがありますから。$k$pずばり、使ったものはもとの場所に返すこと！$k$pそれが守れなくて、何度家庭崩壊の危機が\n訪れることか。いいですか？　お願いしますよ。$k$pはぁ…これでこの時代の一家は安泰です…
MID_様子_ロラン_前_恋人: 気をつけて戦って下さいね、$Np。\nあなたが死んだら、僕は生きていけません…
MID_様子_ロラン_後_恋人: あなたという人は…心配性ですね。\n僕は死んだりしませんよ…約束します。
