MESS_ARCHIVE_Prisoner


Message Name: Message


MKID_捕虜_001: 아키히로
MKID_捕虜_002: 다이스케
MKID_捕虜_003: 하지메
MKID_捕虜_004: 히데아키
MKID_捕虜_005: 카에데
MKID_捕虜_006: 켄토
MKID_捕虜_007: 카즈키
MKID_捕虜_008: 마사히로
MKID_捕虜_009: 미츠루
MKID_捕虜_010: 노부
MKID_捕虜_011: 사부로
MKID_捕虜_012: 요이치
MKID_捕虜_013: 카즈나리
MKID_捕虜_014: 린타로
MKID_捕虜_015: 카즈마
MKID_捕虜_016: 히데토라
MKID_捕虜_017: 야마토
MKID_捕虜_018: 타카노리
MKID_捕虜_019: 토미히코
MKID_捕虜_020: 켄시
MKID_捕虜_021: 진페이
MKID_捕虜_022: 요헤이
MKID_捕虜_023: 아리요시
MKID_捕虜_024: 미즈키
MKID_捕虜_025: 우쿄
MKID_捕虜_026: 렌
MKID_捕虜_027: 히로유키
MKID_捕虜_028: 타마키
MKID_捕虜_029: 진
MKID_捕虜_030: 히로미
MKID_捕虜_051: 제럴드
MKID_捕虜_052: 헨드릭
MKID_捕虜_053: 버나드
MKID_捕虜_054: 프리츠
MKID_捕虜_055: 크리스토프
MKID_捕虜_056: 엘마
MKID_捕虜_057: 버질
MKID_捕虜_058: 휴버트
MKID_捕虜_059: 콘래드
MKID_捕虜_060: 루지윅
MKID_捕虜_061: 오스카
MKID_捕虜_062: 레인하드
MKID_捕虜_063: 스벤
MKID_捕虜_064: 토비아스
MKID_捕虜_065: 웬젤
MKID_捕虜_066: 안드레아스
MKID_捕虜_067: 크레멜
MKID_捕虜_068: 헬머트
MKID_捕虜_069: 시몬
MKID_捕虜_070: 맨프레드
MKID_捕虜_071: 울프강
MKID_捕虜_072: 스테판
MKID_捕虜_073: 로드릭
MKID_捕虜_074: 탄크레드
MKID_捕虜_075: 시어볼드
MKID_捕虜_076: 레오나드
MKID_捕虜_077: 리암
MKID_捕虜_078: 베르트랑
MKID_捕虜_079: 로랜드
MKID_捕虜_080: 에드셀
MKID_捕虜_101: 마도카
MKID_捕虜_102: 카나데
MKID_捕虜_103: 치아키
MKID_捕虜_104: 미카사
MKID_捕虜_105: 코마치
MKID_捕虜_106: 모미지
MKID_捕虜_107: 에리코
MKID_捕虜_108: 아스카
MKID_捕虜_109: 코로모
MKID_捕虜_110: 아카네
MKID_捕虜_111: 히로에
MKID_捕虜_112: 후미
MKID_捕虜_113: 사야
MKID_捕虜_114: 호타루
MKID_捕虜_115: 하루
MKID_捕虜_116: 카스미
MKID_捕虜_117: 치히로
MKID_捕虜_118: 스즈키
MKID_捕虜_119: 루리
MKID_捕虜_120: 야요이
MKID_捕虜_121: 토모에
MKID_捕虜_122: 카논
MKID_捕虜_123: 소라네
MKID_捕虜_124: 요리코
MKID_捕虜_125: 유카리
MKID_捕虜_126: 나오미
MKID_捕虜_127: 시즈에
MKID_捕虜_128: 나노하
MKID_捕虜_129: 미야비
MKID_捕虜_130: 스즈란
MKID_捕虜_151: 아델
MKID_捕虜_152: 베아트리스
MKID_捕虜_153: 힐다
MKID_捕虜_154: 브리기타
MKID_捕虜_155: 코르둘라
MKID_捕虜_156: 도라
MKID_捕虜_157: 잉그리드
MKID_捕虜_158: 키스턴
MKID_捕虜_159: 로젠탈
MKID_捕虜_160: 마거트
MKID_捕虜_161: 스텔라
MKID_捕虜_162: 우르슬라
MKID_捕虜_163: 프레이어
MKID_捕虜_164: 베로나
MKID_捕虜_165: 기셀라
MKID_捕虜_166: 그레텔
MKID_捕虜_167: 주디스
MKID_捕虜_168: 카린
MKID_捕虜_169: 아네트
MKID_捕虜_170: 에니스타
MKID_捕虜_171: 로미
MKID_捕虜_172: 아스트리드
MKID_捕虜_173: 루루
MKID_捕虜_174: 제이나
MKID_捕虜_175: 텔마
MKID_捕虜_176: 리타
MKID_捕虜_177: 마르타
MKID_捕虜_178: 마리온
MKID_捕虜_179: 이르세
MKID_捕虜_180: 루이사
MKID_捕虜_201: 잇페이
MKID_捕虜_202: 지타로
MKID_捕虜_203: 미노리
MKID_捕虜_204: 시노부
MKID_捕虜_205: 고로
MKID_捕虜_206: 무사시
MKID_捕虜_207: 나나키
MKID_捕虜_208: 하치오
MKID_捕虜_209: 코노에
MKID_捕虜_221: 우닐
MKID_捕虜_222: 두아
MKID_捕虜_223: 트리미
MKID_捕虜_224: 쿼트로
MKID_捕虜_225: 펜보
MKID_捕虜_226: 제스트
MKID_捕虜_227: 헤포
MKID_捕虜_228: 옥투
